Warehouse,SKU,Current_Stock,Reserved_Stock,Safety_Stock,Reorder_Point,EOQ,Inventory_Status,Stock_Gap
Whse_J,Product_1162,144379,139891,139479.0,409853.0,4289.0,Critical,265474.0
Whse_C,Product_1570,233465,233116,327504.0,495909.0,12127.0,Critical,262444.0
Whse_J,Product_1290,71748,66921,120259.0,332075.0,6964.0,Critical,260327.0
Whse_J,Product_1165,62234,62210,118585.0,322205.0,3344.0,Critical,259971.0
Whse_J,Product_1282,125809,123190,135557.0,379417.0,5162.0,Critical,253608.0
Whse_J,Product_1018,65782,65096,212498.0,314716.0,6384.0,Critical,248934.0
Whse_C,Product_1403,55899,55670,223055.0,304612.0,8693.0,Critical,248713.0
Whse_J,Product_0071,40271,39419,171042.0,288163.0,6325.0,Critical,247892.0
Whse_S,Product_1281,167962,66666,270870.0,412199.0,5610.0,Critical,244237.0
Whse_C,Product_0071,44633,44493,171042.0,288163.0,6325.0,Critical,243530.0
Whse_J,Product_1403,61397,50120,223055.0,304612.0,8693.0,Critical,243215.0
Whse_J,Product_1407,59986,48222,207382.0,303015.0,4218.0,Critical,243029.0
Whse_J,Product_1149,68109,65605,201293.0,310939.0,7452.0,Critical,242830.0
Whse_S,Product_1241,155640,53425,325586.0,392302.0,16630.0,Critical,236662.0
Whse_J,Product_1269,41742,40589,109142.0,274879.0,7581.0,Critical,233137.0
Whse_C,Product_1366,172307,171858,239418.0,405317.0,2103.0,Critical,233010.0
Whse_A,Product_1435,21764,21695,150247.0,251417.0,3060.0,Critical,229653.0
Whse_J,Product_1526,77033,72541,169781.0,297066.0,6742.0,Critical,220033.0
Whse_J,Product_1435,39497,35512,150247.0,251417.0,3060.0,Critical,211920.0
Whse_J,Product_1164,60769,59637,128889.0,271349.0,2011.0,Critical,210580.0
Whse_S,Product_1817,397135,137525,443013.0,605438.0,5293.0,Critical,208303.0
Whse_J,Product_0079,50699,50630,163520.0,257593.0,2315.0,Critical,206894.0
Whse_J,Product_0064,47593,47145,152330.0,253807.0,4398.0,Critical,206214.0
Whse_J,Product_1361,159077,154646,186276.0,362077.0,8898.0,Critical,203000.0
Whse_J,Product_0933,46580,40879,95014.0,245899.0,4841.0,Critical,199319.0
Whse_J,Product_1242,52846,50360,198257.0,252022.0,6859.0,Critical,199176.0
Whse_S,Product_1278,162240,68826,221315.0,360526.0,4910.0,Critical,198286.0
Whse_J,Product_1048,211652,206142,78901.0,409021.0,4505.0,Critical,197369.0
Whse_C,Product_1355,26830,26742,115094.0,222810.0,6825.0,Critical,195980.0
Whse_C,Product_1348,50078,49868,130140.0,245514.0,4032.0,Critical,195436.0
Whse_C,Product_1431,69415,69328,167931.0,260658.0,7311.0,Critical,191243.0
Whse_J,Product_1820,31301,18857,154498.0,222512.0,2082.0,Critical,191211.0
Whse_J,Product_0108,53248,53180,132327.0,243826.0,2973.0,Critical,190578.0
Whse_C,Product_1407,115191,114938,207382.0,303015.0,4218.0,Critical,187824.0
Whse_S,Product_1355,36270,35555,115094.0,222810.0,6825.0,Critical,186540.0
Whse_J,Product_0936,44613,35532,127270.0,231058.0,6334.0,Critical,186445.0
Whse_J,Product_0829,249759,246118,133870.0,434333.0,4911.0,Critical,184574.0
Whse_J,Product_1158,93596,89996,161051.0,275715.0,7493.0,Critical,182119.0
Whse_J,Product_1348,66387,61220,130140.0,245514.0,4032.0,Critical,179127.0
Whse_J,Product_1279,24992,22548,149181.0,203637.0,7560.0,Critical,178645.0
Whse_J,Product_0063,42703,42669,120608.0,220837.0,2671.0,Critical,178134.0
Whse_C,Product_1502,110161,110041,191041.0,286157.0,7255.0,Critical,175996.0
Whse_J,Product_1268,38541,38498,139519.0,212081.0,2111.0,Critical,173540.0
Whse_C,Product_0094,242522,242459,219694.0,409502.0,3224.0,Critical,166980.0
Whse_J,Product_1147,55464,54996,115807.0,221619.0,1754.0,Critical,166155.0
Whse_J,Product_2042,130968,121510,118824.0,296537.0,4392.0,Critical,165569.0
Whse_J,Product_1233,78269,75868,165422.0,243495.0,5952.0,Critical,165226.0
Whse_C,Product_0093,42772,42730,103514.0,206106.0,4686.0,Critical,163334.0
Whse_A,Product_1825,35272,35215,146332.0,198127.0,8854.0,Critical,162855.0
Whse_J,Product_1287,82440,82297,127076.0,245268.0,16187.0,Critical,162828.0
Whse_C,Product_0044,45336,45308,96131.0,207885.0,1218.0,Critical,162549.0
Whse_J,Product_1234,96615,93554,157954.0,257662.0,8577.0,Critical,161047.0
Whse_A,Product_0936,71710,71689,127270.0,231058.0,6334.0,Critical,159348.0
Whse_J,Product_1355,65329,57296,115094.0,222810.0,6825.0,Critical,157481.0
Whse_J,Product_1399,60962,56448,105438.0,216906.0,4661.0,Critical,155944.0
Whse_C,Product_1470,18039,17875,139988.0,173746.0,12150.0,Critical,155707.0
Whse_C,Product_1350,33174,32925,125120.0,188766.0,15359.0,Critical,155592.0
Whse_S,Product_0064,98290,36269,152330.0,253807.0,4398.0,Critical,155517.0
Whse_S,Product_0071,135722,110694,171042.0,288163.0,6325.0,Critical,152441.0
Whse_C,Product_1393,21922,21819,94738.0,174268.0,6823.0,Critical,152346.0
Whse_J,Product_1486,81495,72657,112970.0,231035.0,2646.0,Critical,149540.0
Whse_A,Product_1470,24349,24340,139988.0,173746.0,12150.0,Critical,149397.0
Whse_J,Product_1350,42266,22368,125120.0,188766.0,15359.0,Critical,146500.0
Whse_J,Product_1825,52702,45481,146332.0,198127.0,8854.0,Critical,145425.0
Whse_J,Product_1489,50280,47656,121771.0,194376.0,1830.0,Critical,144096.0
Whse_C,Product_1078,39855,39660,76515.0,183071.0,1791.0,Critical,143216.0
Whse_C,Product_1825,55621,55410,146332.0,198127.0,8854.0,Critical,142506.0
Whse_A,Product_1431,118265,118241,167931.0,260658.0,7311.0,Critical,142393.0
Whse_J,Product_1470,32700,26529,139988.0,173746.0,12150.0,Critical,141046.0
Whse_J,Product_0931,23275,22079,72989.0,164321.0,7688.0,Critical,141046.0
Whse_J,Product_0093,67945,67852,103514.0,206106.0,4686.0,Critical,138161.0
Whse_A,Product_1886,11067,10926,122961.0,148478.0,7707.0,Critical,137411.0
Whse_J,Product_1400,24667,24285,98484.0,160355.0,2041.0,Critical,135688.0
Whse_C,Product_1101,65756,65600,99272.0,201104.0,1548.0,Critical,135348.0
Whse_S,Product_0936,98076,32760,127270.0,231058.0,6334.0,Critical,132982.0
Whse_C,Product_1766,20938,20856,92984.0,151498.0,3971.0,Critical,130560.0
Whse_S,Product_1242,121733,50936,198257.0,252022.0,6859.0,Critical,130289.0
Whse_C,Product_1279,74262,74158,149181.0,203637.0,7560.0,Critical,129375.0
Whse_A,Product_0982,12477,12444,103260.0,141012.0,2907.0,Critical,128535.0
Whse_C,Product_1047,46790,46573,76187.0,174854.0,2321.0,Critical,128064.0
Whse_J,Product_1393,47910,42916,94738.0,174268.0,6823.0,Critical,126358.0
Whse_J,Product_0096,30844,30416,76013.0,156462.0,2939.0,Critical,125618.0
Whse_C,Product_1216,20168,20106,89911.0,144197.0,4928.0,Critical,124029.0
Whse_C,Product_1886,29673,29211,122961.0,148478.0,7707.0,Critical,118805.0
Whse_J,Product_0982,22255,21592,103260.0,141012.0,2907.0,Critical,118757.0
Whse_J,Product_0066,525752,525410,410879.0,642121.0,4302.0,Critical,116369.0
Whse_J,Product_1382,38940,33339,74237.0,154303.0,10093.0,Critical,115363.0
Whse_C,Product_0033,46440,46428,117294.0,160318.0,5458.0,Critical,113878.0
Whse_J,Product_1356,19062,11277,101923.0,132727.0,7610.0,Critical,113665.0
Whse_J,Product_1502,172827,165435,191041.0,286157.0,7255.0,Critical,113330.0
Whse_C,Product_0063,108109,107874,120608.0,220837.0,2671.0,Critical,112728.0
Whse_J,Product_2034,248131,118462,129292.0,357800.0,2893.0,Critical,109669.0
Whse_J,Product_0074,40818,39745,84286.0,150272.0,2805.0,Critical,109454.0
Whse_A,Product_0985,28049,27968,117894.0,135750.0,4404.0,Critical,107701.0
Whse_J,Product_1766,44539,32074,92984.0,151498.0,3971.0,Critical,106959.0
Whse_J,Product_1216,37271,32207,89911.0,144197.0,4928.0,Critical,106926.0
Whse_J,Product_2035,37973,30895,55415.0,144777.0,2893.0,Critical,106804.0
Whse_S,Product_1264,324593,125416,334800.0,430084.0,15651.0,Critical,105491.0
Whse_J,Product_0831,21779,18904,50899.0,126454.0,2482.0,Critical,104675.0
Whse_A,Product_1438,23599,23494,88880.0,127962.0,2063.0,Critical,104363.0
Whse_J,Product_1195,36385,29298,73088.0,139951.0,4129.0,Critical,103566.0
Whse_S,Product_0146,132047,78231,99839.0,235522.0,2164.0,Critical,103475.0
Whse_C,Product_0557,32435,32279,75200.0,134151.0,713.0,Critical,101716.0
Whse_C,Product_1195,38267,38254,73088.0,139951.0,4129.0,Critical,101684.0
Whse_J,Product_1256,29517,27172,90386.0,131017.0,3421.0,Critical,101500.0
Whse_J,Product_0998,14714,14032,75395.0,115879.0,5404.0,Critical,101165.0
Whse_C,Product_1485,40163,39621,52614.0,141088.0,2886.0,Critical,100925.0
Whse_J,Product_1217,52100,50081,68552.0,152602.0,1806.0,Critical,100502.0
Whse_J,Product_0033,60330,59381,117294.0,160318.0,5458.0,Critical,99988.0
Whse_J,Product_0065,30539,29980,112560.0,130088.0,1943.0,Critical,99549.0
Whse_C,Product_1270,39895,39802,58675.0,139025.0,3264.0,Critical,99130.0
Whse_J,Product_1215,59378,57090,107590.0,157752.0,2253.0,Critical,98374.0
Whse_J,Product_2032,191589,94011,101336.0,289023.0,2880.0,Critical,97434.0
Whse_S,Product_0063,123669,101899,120608.0,220837.0,2671.0,Critical,97168.0
Whse_J,Product_1347,47396,43912,65446.0,143384.0,1362.0,Critical,95988.0
Whse_J,Product_1438,32389,19139,88880.0,127962.0,2063.0,Critical,95573.0
Whse_A,Product_1388,10496,10437,65172.0,105029.0,4884.0,Critical,94533.0
Whse_J,Product_0082,93893,93676,109154.0,188324.0,3863.0,Critical,94431.0
Whse_J,Product_1886,54810,17486,122961.0,148478.0,7707.0,Critical,93668.0
Whse_A,Product_0998,22585,22566,75395.0,115879.0,5404.0,Critical,93294.0
Whse_J,Product_0098,191750,191640,119703.0,283647.0,2636.0,Critical,91897.0
Whse_J,Product_0089,14928,14261,57686.0,106330.0,2944.0,Critical,91402.0
Whse_A,Product_1496,16633,16589,80791.0,107752.0,5804.0,Critical,91119.0
Whse_S,Product_1393,83543,41781,94738.0,174268.0,6823.0,Critical,90725.0
Whse_S,Product_0082,97657,75626,109154.0,188324.0,3863.0,Critical,90667.0
Whse_J,Product_2033,48275,30326,44852.0,137922.0,1157.0,Critical,89647.0
Whse_J,Product_1388,15844,10969,65172.0,105029.0,4884.0,Critical,89185.0
Whse_A,Product_1521,16486,16357,53621.0,104992.0,8474.0,Critical,88506.0
Whse_A,Product_1839,21892,21694,78633.0,109141.0,6665.0,Critical,87249.0
Whse_C,Product_1823,32978,32736,54173.0,118666.0,7343.0,Critical,85688.0
Whse_J,Product_1155,51738,50183,58280.0,137007.0,1980.0,Critical,85269.0
Whse_J,Product_0109,33650,33513,39651.0,118378.0,2979.0,Critical,84728.0
Whse_J,Product_1496,23415,23338,80791.0,107752.0,5804.0,Critical,84337.0
Whse_J,Product_0085,35711,35186,55773.0,119900.0,1003.0,Critical,84189.0
Whse_J,Product_1556,49735,47353,57041.0,133154.0,3891.0,Critical,83419.0
Whse_J,Product_1244,16314,14994,76278.0,98919.0,2326.0,Critical,82605.0
Whse_J,Product_1270,56421,49267,58675.0,139025.0,3264.0,Critical,82604.0
Whse_J,Product_1295,34009,28869,73983.0,115874.0,13120.0,Critical,81865.0
Whse_J,Product_2046,55429,31885,40282.0,136517.0,1757.0,Critical,81088.0
Whse_C,Product_1581,24534,24399,75772.0,105172.0,6059.0,Critical,80638.0
Whse_S,Product_1356,53377,45913,101923.0,132727.0,7610.0,Critical,79350.0
Whse_J,Product_0099,18534,18378,38471.0,97541.0,1592.0,Critical,79007.0
Whse_J,Product_1397,48224,22908,39851.0,126247.0,3076.0,Critical,78023.0
Whse_J,Product_2044,43145,39136,46732.0,120646.0,3774.0,Critical,77501.0
Whse_J,Product_1465,33067,30372,60842.0,109822.0,3647.0,Critical,76755.0
Whse_J,Product_0128,13876,13876,40565.0,90365.0,1435.0,Critical,76489.0
Whse_C,Product_0387,15569,15104,53352.0,91923.0,2019.0,Critical,76354.0
Whse_J,Product_1842,24280,17383,30822.0,100276.0,986.0,Critical,75996.0
Whse_A,Product_1385,6694,6650,61135.0,82648.0,2559.0,Critical,75954.0
Whse_S,Product_0033,84723,32283,117294.0,160318.0,5458.0,Critical,75595.0
Whse_A,Product_1410,10894,10859,50823.0,86077.0,6580.0,Critical,75183.0
Whse_J,Product_1294,59128,45890,72281.0,134074.0,6376.0,Critical,74946.0
Whse_C,Product_1521,30278,30195,53621.0,104992.0,8474.0,Critical,74714.0
Whse_J,Product_1520,28584,24455,61977.0,102842.0,6117.0,Critical,74258.0
Whse_C,Product_1513,9571,9024,52132.0,82339.0,5211.0,Critical,72768.0
Whse_J,Product_1839,36564,21969,78633.0,109141.0,6665.0,Critical,72577.0
Whse_C,Product_1548,10999,10972,59300.0,82083.0,4008.0,Critical,71084.0
Whse_J,Product_1385,11699,7958,61135.0,82648.0,2559.0,Critical,70949.0
Whse_J,Product_1363,62828,33250,45333.0,133095.0,2876.0,Critical,70267.0
Whse_J,Product_1555,24629,22644,50893.0,94347.0,3493.0,Critical,69718.0
Whse_S,Product_1348,175850,37053,130140.0,245514.0,4032.0,Critical,69664.0
Whse_J,Product_0837,45750,44170,42265.0,115208.0,2931.0,Critical,69458.0
Whse_A,Product_0413,7626,7572,37754.0,76922.0,1708.0,Critical,69296.0
Whse_J,Product_1286,71969,70844,90072.0,141033.0,20544.0,Critical,69064.0
Whse_J,Product_1513,13289,9621,52132.0,82339.0,5211.0,Critical,69050.0
Whse_J,Product_1900,10625,8948,31700.0,79101.0,1336.0,Critical,68476.0
Whse_J,Product_1430,30055,17834,74720.0,98380.0,3711.0,Critical,68325.0
Whse_J,Product_1437,16464,16404,35100.0,84024.0,3330.0,Critical,67560.0
Whse_A,Product_1513,14871,14833,52132.0,82339.0,5211.0,Critical,67468.0
Whse_C,Product_1235,42532,41489,67190.0,109706.0,1733.0,Critical,67174.0
Whse_J,Product_1394,114036,105563,137077.0,180905.0,8725.0,Critical,66869.0
Whse_J,Product_1524,59013,36157,42851.0,125171.0,1167.0,Critical,66158.0
Whse_C,Product_1356,67006,66991,101923.0,132727.0,7610.0,Critical,65721.0
Whse_A,Product_1299,11517,11497,55107.0,77110.0,4320.0,Critical,65593.0
Whse_C,Product_1404,11856,11473,49258.0,77420.0,2790.0,Critical,65564.0
Whse_C,Product_1643,14653,14156,52016.0,80043.0,2473.0,Critical,65390.0
Whse_S,Product_0996,73628,23502,89997.0,138583.0,1069.0,Critical,64955.0
Whse_J,Product_1410,21181,15081,50823.0,86077.0,6580.0,Critical,64896.0
Whse_J,Product_0962,29796,27723,56953.0,94619.0,1057.0,Critical,64823.0
Whse_J,Product_1378,32415,25629,55826.0,95617.0,16995.0,Critical,63202.0
Whse_A,Product_1250,8983,8953,48536.0,72176.0,9263.0,Critical,63193.0
Whse_C,Product_1520,39946,39946,61977.0,102842.0,6117.0,Critical,62896.0
Whse_J,Product_1274,58651,52646,81954.0,121103.0,13306.0,Critical,62452.0
Whse_J,Product_0129,15809,15695,51301.0,78207.0,921.0,Critical,62398.0
Whse_J,Product_1047,112555,109341,76187.0,174854.0,2321.0,Critical,62299.0
Whse_J,Product_1581,42899,35992,75772.0,105172.0,6059.0,Critical,62273.0
Whse_J,Product_1832,26432,21737,38960.0,88658.0,1148.0,Critical,62226.0
Whse_J,Product_1148,26849,24332,40896.0,88731.0,2461.0,Critical,61882.0
Whse_C,Product_1528,21334,21113,32872.0,83187.0,983.0,Critical,61853.0
Whse_J,Product_1554,75182,25958,73848.0,136992.0,4971.0,Critical,61810.0
Whse_C,Product_0368,27175,27010,50656.0,88822.0,2261.0,Critical,61647.0
Whse_J,Product_1460,28227,28072,59052.0,89441.0,2463.0,Critical,61214.0
Whse_C,Product_1394,121995,121765,137077.0,180905.0,8725.0,Critical,58910.0
Whse_J,Product_1373,4803,4108,39831.0,63452.0,1635.0,Critical,58649.0
Whse_J,Product_1221,69633,65416,52693.0,127872.0,1875.0,Critical,58239.0
Whse_A,Product_1548,24143,24109,59300.0,82083.0,4008.0,Critical,57940.0
Whse_J,Product_2036,86227,77407,52175.0,143844.0,1140.0,Critical,57617.0
Whse_C,Product_1967,17011,16979,43555.0,74512.0,1312.0,Critical,57501.0
Whse_J,Product_2048,54189,32806,37929.0,110882.0,1529.0,Critical,56693.0
Whse_J,Product_1000,10892,9431,43849.0,66489.0,3403.0,Critical,55597.0
Whse_J,Product_1376,47826,25127,45995.0,103381.0,3945.0,Critical,55555.0
Whse_J,Product_1821,48732,32029,41580.0,103677.0,1821.0,Critical,54945.0
Whse_J,Product_1349,14765,14578,34065.0,68787.0,4392.0,Critical,54022.0
Whse_J,Product_1452,26459,14052,39484.0,80425.0,3940.0,Critical,53966.0
Whse_A,Product_0424,68068,68029,61067.0,121269.0,4313.0,Critical,53201.0
Whse_J,Product_1521,53017,40759,53621.0,104992.0,8474.0,Critical,51975.0
Whse_J,Product_1134,26908,24010,58502.0,78134.0,3127.0,Critical,51226.0
Whse_J,Product_1643,28937,23910,52016.0,80043.0,2473.0,Critical,51106.0
Whse_C,Product_1465,58806,58552,60842.0,109822.0,3647.0,Critical,51016.0
Whse_J,Product_1404,26492,22584,49258.0,77420.0,2790.0,Critical,50928.0
Whse_J,Product_1838,36500,23079,37008.0,86989.0,1681.0,Critical,50489.0
Whse_C,Product_1198,11759,11637,33658.0,61155.0,2694.0,Critical,49396.0
Whse_J,Product_1253,29345,26466,37537.0,77680.0,2705.0,Critical,48335.0
Whse_J,Product_0677,5854,4785,37712.0,54178.0,2730.0,Critical,48324.0
Whse_J,Product_1199,32245,25860,33804.0,80325.0,925.0,Critical,48080.0
Whse_J,Product_1250,24737,18903,48536.0,72176.0,9263.0,Critical,47439.0
Whse_C,Product_1601,13518,13421,30264.0,60937.0,1828.0,Critical,47419.0
Whse_J,Product_0930,24801,22771,25383.0,71983.0,3189.0,Critical,47182.0
Whse_C,Product_1564,12505,12503,29620.0,59479.0,837.0,Critical,46974.0
Whse_S,Product_1078,136140,67807,76515.0,183071.0,1791.0,Critical,46931.0
Whse_J,Product_1280,19411,17702,39501.0,66306.0,897.0,Critical,46895.0
Whse_S,Product_0556,12428,10025,33358.0,59281.0,2365.0,Critical,46853.0
Whse_C,Product_0558,10317,10178,22301.0,57062.0,1420.0,Critical,46745.0
Whse_J,Product_1246,39953,33875,55359.0,86662.0,4733.0,Critical,46709.0
Whse_J,Product_1466,24135,16080,49961.0,70263.0,1626.0,Critical,46128.0
Whse_J,Product_0980,17247,15241,36116.0,63209.0,1863.0,Critical,45962.0
Whse_J,Product_1315,30094,21748,45035.0,76038.0,6332.0,Critical,45944.0
Whse_J,Product_1262,19096,10799,39357.0,64763.0,5191.0,Critical,45667.0
Whse_J,Product_1418,37413,12311,57050.0,82454.0,2554.0,Critical,45041.0
Whse_C,Product_1299,32353,32258,55107.0,77110.0,4320.0,Critical,44757.0
Whse_J,Product_0054,11490,10860,24139.0,55539.0,1727.0,Critical,44049.0
Whse_C,Product_1243,11359,11352,23539.0,55258.0,2670.0,Critical,43899.0
Whse_J,Product_2047,56302,24632,27316.0,98223.0,2297.0,Critical,41921.0
Whse_J,Product_1988,52068,16398,49530.0,93827.0,1023.0,Critical,41759.0
Whse_J,Product_1345,13137,10753,30212.0,54856.0,1455.0,Critical,41719.0
Whse_J,Product_1272,20416,17265,28902.0,62099.0,2150.0,Critical,41683.0
Whse_A,Product_0980,21628,21627,36116.0,63209.0,1863.0,Critical,41581.0
Whse_A,Product_1000,25348,25301,43849.0,66489.0,3403.0,Critical,41141.0
Whse_J,Product_1243,14206,13593,23539.0,55258.0,2670.0,Critical,41052.0
Whse_C,Product_1353,12377,12347,18600.0,52911.0,1613.0,Critical,40534.0
Whse_A,Product_1154,12694,12681,28311.0,53202.0,2855.0,Critical,40508.0
Whse_J,Product_1505,18611,12280,25242.0,58817.0,1419.0,Critical,40206.0
Whse_J,Product_1381,41372,23719,37177.0,81395.0,9675.0,Critical,40023.0
Whse_C,Product_1354,35543,35403,45689.0,75167.0,3409.0,Critical,39624.0
Whse_J,Product_1247,14234,9860,42951.0,53845.0,3617.0,Critical,39611.0
Whse_J,Product_1362,27413,20338,13924.0,66804.0,1641.0,Critical,39391.0
Whse_A,Product_1505,19906,19876,25242.0,58817.0,1419.0,Critical,38911.0
Whse_C,Product_1439,9698,9634,38744.0,48214.0,3892.0,Critical,38516.0
Whse_S,Product_1404,39107,19656,49258.0,77420.0,2790.0,Critical,38313.0
Whse_J,Product_1789,65630,19142,45462.0,103745.0,1691.0,Critical,38115.0
Whse_J,Product_0832,9870,9845,24391.0,47800.0,1918.0,Critical,37930.0
Whse_J,Product_1023,4736,4178,32756.0,42644.0,4820.0,Critical,37908.0
Whse_J,Product_1453,42316,38161,48384.0,80167.0,14990.0,Critical,37851.0
Whse_C,Product_0556,21669,21564,33358.0,59281.0,2365.0,Critical,37612.0
Whse_C,Product_1450,34141,34029,51565.0,71725.0,7598.0,Critical,37584.0
Whse_J,Product_0070,58644,58360,70919.0,96028.0,5586.0,Critical,37384.0
Whse_J,Product_1210,35469,32049,24401.0,72662.0,1628.0,Critical,37193.0
Whse_J,Product_1483,58133,42737,48528.0,95035.0,3914.0,Critical,36902.0
Whse_J,Product_1527,8526,7326,17846.0,45214.0,836.0,Critical,36688.0
Whse_J,Product_1154,16718,12598,28311.0,53202.0,2855.0,Critical,36484.0
Whse_A,Product_1104,3477,3455,28905.0,39732.0,1625.0,Critical,36255.0
Whse_J,Product_1104,3797,3380,28905.0,39732.0,1625.0,Critical,35935.0
Whse_J,Product_0062,7293,6988,22984.0,43069.0,1420.0,Critical,35776.0
Whse_A,Product_1512,9207,9117,33210.0,44940.0,6742.0,Critical,35733.0
Whse_J,Product_1456,19705,4868,27172.0,55414.0,8496.0,Critical,35709.0
Whse_C,Product_1568,32481,32335,36743.0,68137.0,1830.0,Critical,35656.0
Whse_C,Product_0374,26746,26710,42626.0,61984.0,2364.0,Critical,35238.0
Whse_C,Product_1610,11323,11292,17269.0,46354.0,1216.0,Critical,35031.0
Whse_J,Product_1637,30904,22871,44865.0,65920.0,3603.0,Critical,35016.0
Whse_J,Product_0941,9996,7569,22597.0,43760.0,3313.0,Critical,33764.0
Whse_S,Product_1101,167494,41967,99272.0,201104.0,1548.0,Critical,33610.0
