SKU,Annual_Demand,Unit_Cost,Annual_Consumption_Value,ABC_Category
Product_0829,729695.101205353,39.94,29144022.3421418,A
Product_0098,852505.4677103912,34.15,29113061.722309858,A
Product_1429,359910.2998070313,80.78,29073554.018411987,A
Product_0929,256177.9927436943,113.34,29035213.697570313,A
Product_0374,435534.9041077669,66.58,28997913.91549512,A
Product_1967,242024.53795691367,119.66,28960656.21192429,A
Product_1567,769007.9178250221,37.61,28922387.789399084,A
Product_1164,451122.79142705206,64.03,28885392.335074145,A
Product_1407,1179471.2058565947,24.46,28849865.695252307,A
Product_1581,1318096.1369547928,21.86,28813581.55383177,A
Product_0109,472357.68962045014,60.92,28776030.45167782,A
Product_0108,430065.3768855309,66.82,28736968.48349117,A
Product_1215,300966.94108142256,95.36,28700207.501524456,A
Product_1835,269892.853912528,106.2,28662621.085510477,A
Product_1450,1182700.3836486689,24.2,28621349.284297787,A
Product_1789,79476.54684359957,359.72,28589303.43057964,A
Product_1372,546555.4314561564,52.24,28552055.739269614,A
Product_1246,1032981.2192893836,27.6,28510281.65238699,A
Product_1381,3051020.191761283,9.33,28466018.38913277,A
Product_2042,639765.279724339,44.45,28437566.68374687,A
Product_1818,403006.9239262379,70.48,28403927.99832125,A
Product_1270,772596.0886541499,36.72,28369728.375380382,A
Product_1357,313306.60579472256,90.42,28329183.295958813,A
Product_1195,730340.0838671876,38.74,28293374.84901485,A
Product_2001,246981.1376692399,114.4,28254642.149361044,A
Product_1135,864812.6045645082,32.63,28218835.286939904,A
Product_1408,162204.16806408257,173.73,28179730.117773063,A
Product_0677,315831.05905119627,89.11,28143705.6720521,A
Product_1991,452691.6862398021,62.09,28107626.798629314,A
Product_1243,432170.3236501272,64.95,28069462.521075763,A
Product_0072,794981.8606984552,35.26,28031060.40822753,A
Product_1023,849089.0783604264,32.97,27994466.913543254,A
Product_1392,502158.71544442273,55.67,27955175.688791014,A
Product_1388,1093194.6621531912,25.54,27920191.6713925,A
Product_1147,302318.7989499713,92.23,27882862.82715585,A
Product_1244,314132.1336342473,88.64,27844672.32533968,A
Product_2046,209967.0144434613,132.44,27808031.392892014,A
Product_0065,578393.2840001059,48.01,27768661.564845085,A
Product_1387,489383.2146842466,56.67,27733346.776156254,A
Product_1438,446641.2370916792,62.01,27696223.112055026,A
Product_1385,283579.35124457814,97.54,27660329.920396153,A
Product_0941,326849.826352489,84.51,27622078.82504885,A
Product_1380,479167.6507636041,57.57,27585681.654460687,A
Product_1288,373387.5253085313,73.78,27548531.61726344,A
Product_1424,267909.5736385104,102.69,27511634.116938636,A
Product_1766,614394.1239610662,44.72,27475705.223538883,A
Product_0407,211862.5225890754,129.5,27436196.675285265,A
Product_1347,227316.74842246686,120.53,27398487.68735993,A
Product_1163,473814.3030583115,57.75,27362776.00161749,A
Product_1047,822221.5012434309,33.23,27322420.486319207,A
Product_1402,562474.8830740696,48.51,27285656.577923115,A
Product_0998,625651.5709947261,43.55,27247125.91682032,A
Product_1514,95905.1372426775,283.75,27213082.692609742,A
Product_0202,401651.17902957596,67.66,27175718.77314111,A
Product_1376,413173.0179474567,65.68,27137203.818788957,A
Product_1418,820164.8440256898,33.04,27098246.44660879,A
Product_0077,627847.7569555272,43.11,27066516.80235278,A
Product_1374,419320.788458014,64.45,27025224.816119004,A
Product_0368,215114.7211800411,125.47,26990444.066459756,A
Product_1493,510820.41680430056,52.76,26950885.190594897,A
Product_1299,1067101.2618170665,25.22,26912293.823026415,A
Product_1344,305901.51666679693,87.86,26876507.25434478,A
Product_1821,117983.70700661902,227.49,26840113.50693576,A
Product_1826,315130.4967020522,85.05,26801848.744509537,A
Product_1524,64679.95022343139,413.82,26765857.001460377,A
Product_1832,160135.29292552194,166.91,26728181.742198866,A
Product_0990,660994.7069609595,40.38,26690966.267083544,A
Product_1419,245801.175450097,108.44,26654679.46580852,A
Product_1349,436500.873413281,60.98,26617823.260741875,A
Product_0086,226874.65065238456,117.16,26580634.070433374,A
Product_0942,242454.68632632404,109.48,26543939.059005957,A
Product_1455,466433.9994223904,56.83,26507444.187174447,A
Product_1253,337866.54589766427,78.34,26468465.20562302,A
Product_0012,451405.93453655794,58.55,26429817.467115466,A
Product_1210,89096.64704784476,296.24,26393990.721453533,A
Product_2032,312811.29999750294,84.26,26357480.1377896,A
Product_1485,227502.70102900418,115.69,26319787.482045494,A
Product_1399,557337.0333472049,47.16,26284014.492654182,A
Product_1154,515580.90400436387,50.9,26243068.01382212,A
Product_1846,242822.8249076218,107.93,26207867.492279623,A
Product_1637,421098.2441029552,62.15,26171255.870998666,A
Product_1031,36070.70947817595,725.02,26151985.78586713,A
Product_0355,233231.15076595402,112.05,26133550.443325147,A
Product_1596,33296.425279634175,783.88,26100401.848199636,A
Product_1427,215233.1325010984,121.25,26097017.31575818,A
Product_1373,145657.00981290312,178.91,26059495.625626497,A
Product_0975,136373.37320562196,190.81,26021403.341364726,A
Product_1165,944052.686392741,27.52,25980329.929528233,A
Product_1601,166995.47620426884,155.5,25967796.549763806,A
Product_0831,194282.71117577524,133.56,25948398.904636543,A
Product_1997,395851.1530170821,65.45,25908457.964968022,A
Product_1198,378082.39095373114,68.43,25872178.012963824,A
Product_1289,174093.69572332068,148.4,25835504.44534079,A
Product_1404,352023.4561107493,73.29,25799799.098356817,A
Product_1571,402677.3536065384,63.98,25763297.083746325,A
Product_1824,341020.9598380694,75.43,25723211.00058558,A
Product_0209,85271.58630453348,301.24,25687212.658377666,A
Product_1239,366330.5873978625,70.02,25650467.729598332,A
Product_0366,119757.28928828999,213.87,25612491.46008658,A
Product_1587,68578.49760077217,373.39,25606525.21915232,A
Product_1461,303682.54395117937,84.22,25576143.851568326,A
Product_1820,181368.05600545427,140.81,25538435.966128018,A
Product_1266,221413.76917132997,115.17,25500223.795462072,A
Product_1363,544123.8368044918,46.8,25464995.562450215,A
Product_0985,684468.0430695724,37.15,25427987.800034616,A
Product_1148,233195.1117974874,108.88,25390283.772510428,A
Product_2033,248184.78455627814,102.15,25352075.742423814,A
Product_1240,117297.24249861207,215.82,25315090.876050457,A
Product_0002,488346.35485575383,51.76,25276807.32733382,A
Product_1127,16905.121686680006,1494.82,25270113.999683004,A
Product_0081,183598.07196584795,137.48,25241062.933864776,A
Product_1190,92540.11551126967,272.48,25215330.674510762,A
Product_1454,148630.31804220288,169.57,25203243.030416343,A
Product_1459,447221.91082790407,56.27,25165176.922286164,A
Product_2006,144860.0181392021,173.47,25128867.346607387,A
Product_0069,83149.98667747906,301.76,25091339.979796078,A
Product_0556,237620.39166106726,105.44,25054694.09674293,A
Product_0387,282851.6614880598,88.45,25018229.45861889,A
Product_1416,246313.02365661532,101.42,24981066.859253924,A
Product_1467,203483.3931392664,122.58,24942994.331011277,A
Product_1906,124677.04440186231,200.0,24935408.88037246,A
Product_1398,351350.87026703084,70.89,24907263.193229817,A
Product_1629,159933.6726158859,155.49,24868086.755044103,A
Product_0018,387279.58662845835,64.12,24832367.094616752,A
Product_1489,181510.6308706366,136.6,24794352.17692896,A
Product_1284,269610.7177729458,91.82,24755656.105911884,A
Product_1220,219881.14604667027,112.42,24719038.438566674,A
Product_0019,85543.97309120405,288.94,24717075.5849725,A
Product_1481,102369.48977722565,241.14,24685378.76488019,A
Product_1346,222629.3062630129,110.87,24682911.185380243,A
Product_1366,207373.19347537687,118.84,24644230.31261379,A
Product_1104,110968.31905528015,222.06,24641624.929415513,A
Product_1486,212515.64894011564,115.79,24607186.99077599,A
Product_1593,69171.94136895862,355.58,24596158.911974307,A
Product_1167,262210.33117141534,93.71,24571730.13407333,A
Product_1838,122679.97349086573,199.98,24533541.09870333,A
Product_0021,829012.3747647271,29.55,24497315.674297687,A
Product_1021,39722.603631364545,616.7,24496929.659462515,A
Product_1276,105514.15708443806,231.81,24459236.75374359,A
Product_0984,299459.67663494416,81.55,24420936.629579697,A
Product_1409,204825.3292809466,119.05,24384455.45089669,A
Product_1833,207321.34850172338,117.44,24347819.16804239,A
Product_1460,217063.5101287508,112.0,24311113.13442009,A
Product_1623,59130.69214761852,410.5,24273149.126597404,A
Product_1232,63221.786982059304,383.35,24236072.039572436,A
Product_1273,446007.45078436186,54.26,24200364.279559474,A
Product_1603,220888.37626394382,109.38,24160770.595750175,A
Product_1151,1144298.4790664937,21.08,24121811.938721687,A
Product_0074,203454.1641210268,118.39,24086938.490288366,A
Product_1370,44248.150537055655,544.28,24083383.37430865,A
Product_1275,93514.99872305941,257.18,24050187.371596422,A
Product_1573,445356.2111214132,53.92,24013606.9036666,A
Product_1265,67975.80246889712,352.85,23985261.90115035,A
Product_1247,441184.0252889628,54.34,23973939.934202243,A
Product_0427,199529.69467080853,119.97,23937577.4696569,A
Product_1268,408159.18602171115,58.56,23901801.933431406,A
Product_0832,84630.64073955527,282.36,23896307.719220825,A
Product_0145,191000.0,124.94,23863540.0,A
Product_1648,88232.59740005426,270.04,23826330.601910654,A
Product_1219,115013.9166221997,206.84,23789478.514135785,A
Product_0401,77751.80017810976,305.49,23752397.43641075,A
Product_1345,182360.63944657694,130.04,23714177.553632863,A
Product_0690,55260.795061230674,428.47,23677592.85988551,A
Product_1651,93072.7521411212,254.0,23640479.04384478,A
Product_1221,140959.56725987856,167.45,23603679.537666664,A
Product_0079,486042.14052338415,48.49,23568183.393978897,A
Product_0206,135345.37727001612,173.84,23528440.3846196,A
Product_0178,118764.68282648038,197.8,23491654.26307782,A
Product_0356,90586.67217828752,258.92,23454701.16040221,A
Product_2034,560880.9359107382,41.75,23416779.074273318,A
Product_1225,50670.37559893465,462.12,23415793.971779678,A
Product_1437,386939.32338136446,60.42,23378873.91870204,A
Product_1391,143226.2028152512,162.98,23343006.53482964,A
Product_1280,92326.32357703986,252.43,23305933.860552173,A
Product_1556,550350.0164467548,42.28,23268798.695368793,A
Product_0420,143729.66430781916,161.63,23231025.642072808,A
Product_1560,61057.384223131965,379.87,23193868.54484114,A
Product_0996,78951.7966958184,293.46,23169194.258354865,A
Product_1819,92842.06695970122,249.42,23156668.341088675,A
Product_1369,236179.16394853403,97.89,23119578.358921997,A
Product_1652,182093.01996390702,126.76,23082111.210624855,A
Product_0408,277856.9502264087,82.94,23045455.451778337,A
Product_1400,257792.71493364757,89.25,23007999.807828046,A
Product_0099,199929.1352834611,114.89,22969858.352716845,A
Product_1785,110092.19178351386,208.31,22933304.470423773,A
Product_1523,401374.92384966713,57.04,22894425.656385012,A
Product_1421,108892.17840385198,209.92,22858646.090536606,A
Product_0997,31573.214692635956,723.62,22847009.61588523,A
Product_1371,189145.47929451513,120.66,22822293.531676196,A
Product_1235,204074.10761054605,111.65,22784874.11471747,A
Product_1107,31392.947427982195,724.91,22757061.520018574,A
Product_1780,32148.276366766553,707.58,22747477.39159668,A
Product_1986,55006.14249496195,412.87,22710386.05189494,A
Product_0146,135682.29806922795,167.16,22680652.945252143,A
Product_1472,90577.3394431359,250.32,22673319.60940578,A
Product_1482,94863.80668461592,238.99,22671501.15955636,A
Product_2048,145905.88552018814,155.14,22635839.079601984,A
Product_0981,496736.30072186503,45.49,22596534.31983764,A
Product_0561,53678.23242338893,420.54,22573843.86333198,A
Product_1314,491598.3984682038,45.89,22559450.50570587,A
Product_1199,114512.03721384444,196.83,22539404.284801003,A
Product_1101,297660.3330968809,75.67,22523957.405440975,A
Product_1300,23546.947733546396,955.91,22508762.807974335,A
Product_1420,192973.77562264472,116.53,22487234.07330679,A
Product_0553,125945.70025713852,178.25,22449821.070834942,A
Product_1972,68431.78480856841,327.66,22422358.610375527,A
Product_1981,215061.54922813506,104.21,22411564.045063954,A
Product_1468,94883.4609170053,235.82,22375417.75344819,A
Product_1765,162637.63708673808,137.35,22338279.453863475,A
Product_1297,109458.00105875057,203.74,22300973.13570984,A
Product_2004,271084.52097527747,82.13,22264171.707699537,A
Product_0107,94401.72659150987,235.45,22226886.525971,A
Product_0001,60298.03175540278,367.99,22189072.70567067,A
Product_1237,893586.2024617413,24.79,22152001.959026564,A
Product_2015,338568.3474621604,65.32,22115284.456228316,A
Product_0415,116518.84251641436,189.48,22077990.28001019,A
Product_1841,223907.10866619603,98.44,22041415.777100336,A
Product_0385,87999.88874120094,250.04,22003492.18084988,A
Product_0038,106566.6024909537,206.13,21966573.771460284,A
Product_0932,461386.1897237146,47.53,21929685.597568154,A
Product_0937,112314.23464447552,194.91,21891167.474554725,A
Product_1564,82683.97070312861,264.31,21854200.296543922,A
Product_1213,246614.99574219142,88.47,21818028.673311673,A
Product_0013,50721.19748063769,429.84,21801999.525077302,A
Product_1368,125565.5629959258,173.46,21780602.557273287,A
Product_1635,71763.15514354546,302.98,21742800.745391406,A
Product_1610,42507.44428423169,510.63,21705576.27485723,A
Product_0357,199852.97473309177,108.42,21668059.52056181,A
Product_0010,14742.669462548813,1467.47,21634425.156206507,A
Product_1217,147085.8980530853,147.07,21631923.026667252,A
Product_1503,72477.79227752633,297.94,21594033.431166194,A
Product_1001,139987.76806905336,153.99,21556716.40495353,A
Product_1272,129770.05169327818,165.83,21519767.672296323,A
Product_2035,241276.95366555508,89.04,21483299.954381026,A
Product_1572,95728.92171513129,224.02,21445193.042623714,A
Product_1830,16312.992757115768,1312.33,21408029.784945734,A
Product_1352,203167.12176228352,105.19,21371149.538174603,A
Product_1030,123969.192748347,172.09,21333858.38006304,A
Product_1900,54692.651725099204,390.06,21333415.731892195,A
Product_1285,121025.47056568734,175.97,21296852.055444002,A
Product_0288,51377.586203508734,413.78,21259017.61928784,A
Product_0129,63900.17183292565,332.11,21221886.067432936,A
Product_1568,188358.557271715,112.47,21184686.936349783,A
Product_0618,36601.94680987232,578.51,21174592.248979237,A
Product_1510,148777.8944556325,142.14,21147289.9179236,A
Product_0980,307047.368686784,68.75,21109506.5972164,A
Product_0080,40582.67345644617,519.77,21093656.182457026,A
Product_1735,49000.0,430.06,21072940.0,A
Product_1153,632811.4823398562,33.24,21034653.67297682,A
Product_1128,38170.62438445504,551.04,21033540.860810105,A
Product_1440,97655.41468534744,215.03,20998843.81979026,A
Product_0020,196340.29758887496,106.76,20961290.170588292,A
Product_1501,108508.84656100892,192.83,20923760.882359352,A
Product_2010,196526.64269090592,106.28,20886851.58518948,A
Product_0044,81275.43351547512,256.97,20885348.150471643,A
Product_1612,43459.45220617768,480.08,20864013.81514178,A
Product_0147,19843.463226172527,1050.97,20854884.54681054,A
Product_1134,336533.5534349393,61.95,20848253.63529449,A
Product_1469,479999.8014861104,43.36,20812791.392437745,A
Product_1600,44777.06190184144,464.38,20793572.005977128,A
Product_0088,40126.83624498994,517.74,20775268.197481092,A
Product_2044,340000.0,60.99,20736600.0,A
Product_1519,178801.67266250696,115.78,20701657.660865057,A
Product_1309,317442.56299984705,65.09,20662336.425660048,A
Product_1848,41718.438447222885,494.42,20626430.337075938,A
Product_1209,84548.70076541431,243.8,20612973.246608008,A
Product_1516,61831.508306764386,332.99,20589273.951069474,A
Product_0418,150274.41962947953,136.76,20551529.62852762,A
Product_2047,196962.44525271872,104.16,20515608.297523182,A
Product_1271,66781.71876741965,307.04,20504658.93034853,A
Product_1304,251543.3479539037,81.41,20478143.9569273,A
Product_1078,159833.8725388172,127.89,20441153.958989333,A
Product_0011,194494.05536551477,104.9,20402426.407842502,A
Product_1218,42875.96930597943,475.41,20383664.56775568,A
Product_1977,158184.92535271108,128.75,20366309.139161553,A
Product_1630,22103.282218757082,919.72,20328830.722235262,A
Product_1006,11468.228031459961,1771.13,20311722.713359684,A
Product_2036,248813.4771362912,81.55,20290739.060464546,A
Product_0200,82588.28646756233,245.25,20254777.256169662,A
Product_1744,54676.672670595726,369.93,20226541.521033477,A
Product_1905,144215.9345169891,140.19,20217631.859936703,A
Product_1417,27388.128331915766,737.03,20185872.22447188,A
Product_0062,255360.02805213278,79.03,20181103.016960055,A
Product_0379,96210.2867691793,209.36,20142585.63799538,A
Product_0413,83930.90450402244,239.55,20105648.173938576,A
Product_1383,108032.31505583589,185.76,20068082.844772074,A
Product_1980,81538.82195001401,245.86,20047134.764630444,A
Product_1017,97231.38946040731,206.02,20031610.856633116,A
Product_0193,57510.77739446485,347.66,19994196.86895965,A
Product_1653,78110.28369231346,255.49,19956396.380549166,A
Product_1577,107233.54623578521,185.76,19919703.54875946,A
Product_1507,66994.60231241191,296.78,19882658.074277606,A
Product_1002,46685.7156122233,425.08,19845163.99244388,A
Product_1988,162420.3340330807,121.95,19807159.73533419,A
Product_1442,39897.3082711848,496.38,19804225.87965071,A
Product_0381,45163.05743546081,437.76,19770580.022947323,A
Product_1475,44786.121767820565,440.62,19733660.9733371,A
Product_1447,63947.89884793463,308.01,19696592.324152343,A
Product_0122,45367.4128026086,433.33,19659060.989754383,A
Product_1813,158306.95430199342,123.95,19622146.985732086,A
Product_1492,83440.22862799857,234.72,19585090.463563826,A
Product_0036,147641.29168351038,132.4,19547707.018896777,A
Product_0128,78849.51272423951,247.5,19515254.399249278,A
Product_1303,36651.880931900094,532.31,19510162.738859735,A
Product_0934,74285.4448838065,262.14,19473186.521841034,A
Product_0078,45510.62129876555,427.46,19453970.180370323,A
Product_1474,23017.434690054193,844.47,19437533.072710063,A
Product_1423,178375.06381455052,108.96,19435746.953233425,A
Product_2019,56474.52831422812,343.78,19414813.343865342,A
Product_0085,241708.02644660423,80.26,19399486.202604458,A
Product_1487,28245.24585633889,686.19,19381605.254161183,A
Product_0035,98251.71281063945,197.06,19361482.52646461,A
Product_1464,388373.26666430535,49.76,19325453.749215834,A
Product_1257,31362.58804072695,614.97,19287050.767405853,A
Product_0214,113165.06133691962,170.1,19249376.933410026,A
Product_0552,70557.18133179352,272.67,19238826.63374014,A
Product_1810,59292.03665529404,324.03,19212398.637414925,A
Product_0191,161327.89738628478,118.86,19175433.88333381,A
Product_1222,672697.2309726138,28.45,19138236.22117086,A
Product_1969,464070.6763822576,41.16,19101149.03989372,A
Product_1446,44584.460228268894,427.59,19063869.349005494,A
Product_1992,80869.66784783517,235.27,19026206.75456018,A
Product_1987,45867.44297612128,414.0,18989121.39211421,A
Product_0390,59237.58996192964,319.93,18951882.15652015,A
Product_1351,78676.3091137342,240.41,18914571.474032838,A
Product_1173,58478.50716998934,323.44,18914288.359061353,A
Product_1999,98216.67937176612,192.2,18877245.77525345,A
Product_1414,69227.94591686895,272.56,18868768.9391018,A
Product_0037,69323.86048772049,271.77,18840145.564747795,A
Product_1580,143718.53033770787,130.83,18802695.324082322,A
Product_1966,72561.840773958,258.65,18768120.116184235,A
Product_0928,93958.12513358393,199.73,18766256.332930718,A
Product_1729,58483.837030506686,320.86,18765123.949608374,A
Product_1445,21558.97680639711,869.89,18753938.334116783,A
Product_1626,35132.55865954935,533.09,18728815.695819166,A
Product_0973,102922.90947877396,181.73,18704180.33957759,A
Product_1634,31457.64207442229,594.18,18691501.767780233,A
Product_2013,11666.685682019806,1599.38,18659463.746108837,A
Product_1008,106775.62262246838,174.71,18654769.02837145,A
Product_0017,59423.199316610546,313.93,18654724.96146355,A
Product_0976,56955.65192346504,326.87,18617093.944223017,A
Product_1740,109481.30804718038,169.71,18580072.788686983,A
Product_2031,22216.30090600917,836.13,18575715.676541448,A
Product_1582,121019.13075457666,153.22,18542551.214216236,A
Product_1422,125520.17957691813,147.49,18512971.285799656,A
Product_1542,60135.30278024116,307.73,18505436.724563614,A
Product_1443,43274.09237090616,426.78,18468517.14205533,A
Product_2008,73008.75737994112,252.46,18431790.888139937,A
Product_1005,109622.2334604924,168.13,18430786.111712586,A
Product_0392,52282.859241056816,351.82,18394155.53818861,A
Product_1643,272254.42753981956,67.43,18358116.049010035,A
Product_1191,67473.37304851698,271.62,18327117.58743818,A
Product_1733,83444.76017057916,219.54,18319462.64784895,A
Product_1007,28524.434043295787,638.84,18222549.444219083,A
Product_0606,25008.280937569278,725.24,18137005.667162742,A
Product_1831,34754.83680164338,518.38,18016212.301235896,A
Product_1353,117228.41730679909,148.91,17456483.621155452,A
Product_0054,81115.45152138777,214.51,17400075.50585289,A
Product_0425,86847.39388007,198.9,17273946.642745923,A
Product_2089,14235.451297304358,1210.07,17225892.551329084,A
Product_0376,59604.166671880535,288.78,17212491.251505658,A
Product_1738,56707.30114073455,303.23,17195354.92490494,A
Product_2138,61245.6947872744,280.17,17159206.30855067,A
Product_1515,176283.7712938672,97.04,17106577.166356876,A
Product_0014,81993.53751436995,207.31,16998080.262104034,A
