Supplier_ID,SKU,Lead_Time_Days,Supplier_Reliability,MOQ
SUP_0237,Product_2035,10,34.39,717
SUP_0238,Product_1643,7,68.26,3636
SUP_0239,Product_1846,11,82.64,1505
SUP_0240,Product_1266,4,40.89,344
SUP_0241,Product_0418,3,99.0,1582
SUP_0242,Product_1304,12,99.0,822
SUP_0243,Product_1215,7,92.37,1455
SUP_0244,Product_1000,8,46.9,477
SUP_0245,Product_0929,3,36.88,465
SUP_0246,Product_2033,6,50.65,1781
SUP_0247,Product_2032,9,44.51,548
SUP_0248,Product_1346,2,50.44,570
SUP_0249,Product_1284,2,62.59,3554
SUP_0250,Product_2036,7,23.86,1526
SUP_0251,Product_1841,6,91.57,356
SUP_0252,Product_0086,2,93.78,762
SUP_0253,Product_1603,14,59.82,1758
SUP_0254,Product_1400,12,51.94,1170
SUP_0255,Product_1167,2,73.06,315
SUP_0256,Product_1967,11,92.86,1451
SUP_0257,Product_2001,13,48.38,1360
SUP_0258,Product_0368,11,82.49,1146
SUP_0259,Product_1148,8,51.8,3539
SUP_0260,Product_0062,14,67.72,707
SUP_0261,Product_1366,8,87.11,957
SUP_0262,Product_1369,8,90.32,1771
SUP_0263,Product_0355,5,46.08,2999
SUP_0264,Product_1385,11,75.6,728
SUP_0265,Product_0011,6,97.65,1689
SUP_0266,Product_0407,12,81.33,688
SUP_0267,Product_1220,2,48.25,799
SUP_0268,Product_0074,12,76.47,1233
SUP_0269,Product_2010,13,49.22,1205
SUP_0270,Product_1235,5,85.96,1335
SUP_0271,Product_0427,3,81.92,725
SUP_0272,Product_1420,9,64.06,1062
SUP_0273,Product_1981,4,44.59,1373
SUP_0274,Product_0357,5,48.37,1810
SUP_0275,Product_1408,8,79.9,997
SUP_0276,Product_1001,2,56.16,621
SUP_0277,Product_0942,4,54.93,513
SUP_0278,Product_1416,9,54.52,950
SUP_0279,Product_1401,13,99.0,1402
SUP_0280,Product_1539,6,82.72,2429
SUP_0281,Product_1833,8,52.16,1082
SUP_0282,Product_0020,6,88.99,890
SUP_0283,Product_0366,2,99.0,807
SUP_0284,Product_2046,11,40.52,601
SUP_0285,Product_0408,8,69.0,1135
SUP_0286,Product_1423,5,75.97,427
SUP_0287,Product_0146,14,99.0,1036
SUP_0288,Product_1467,4,83.75,2043
SUP_0289,Product_0145,4,72.11,809
SUP_0290,Product_0831,14,65.56,857
SUP_0291,Product_0099,13,77.45,287
SUP_0292,Product_1568,3,98.62,352
SUP_0293,Product_1409,10,73.46,1281
SUP_0294,Product_1352,5,71.29,776
SUP_0295,Product_1427,11,69.54,654
SUP_0296,Product_0420,5,88.56,600
SUP_0297,Product_0081,11,65.3,3546
SUP_0298,Product_1489,8,67.28,519
SUP_0299,Product_1977,9,71.86,1636
SUP_0300,Product_1515,5,90.75,416
SUP_0301,Product_1832,9,52.05,415
SUP_0302,Product_0975,13,43.0,528
SUP_0303,Product_2047,9,78.16,927
SUP_0304,Product_1289,9,99.0,911
SUP_0305,Product_1486,10,64.42,1448
SUP_0306,Product_1371,8,81.97,753
SUP_0307,Product_1217,12,53.84,774
SUP_0308,Product_0191,7,77.34,653
SUP_0309,Product_1078,12,45.02,1493
SUP_0310,Product_1652,5,77.93,380
SUP_0311,Product_0379,7,54.24,732
SUP_0312,Product_1580,6,59.21,327
SUP_0313,Product_1221,8,69.83,314
SUP_0314,Product_1988,12,77.93,1217
SUP_0315,Product_0036,8,54.55,1417
SUP_0316,Product_1765,5,71.52,867
SUP_0317,Product_1578,6,71.56,571
SUP_0318,Product_1601,9,83.63,488
SUP_0319,Product_1519,7,67.6,441
SUP_0320,Product_1213,8,94.17,557
SUP_0321,Product_1345,10,61.91,943
SUP_0322,Product_0178,3,90.82,619
SUP_0323,Product_1820,12,19.63,1010
SUP_0324,Product_1906,7,99.0,623
SUP_0325,Product_1905,11,70.34,1090
SUP_0326,Product_1368,5,78.84,1182
SUP_0327,Product_0962,9,82.72,960
SUP_0328,Product_1454,10,41.8,1252
SUP_0329,Product_1373,12,55.21,784
SUP_0330,Product_1629,2,91.81,403
SUP_0331,Product_2045,6,63.3,728
SUP_0332,Product_2048,10,62.9,1254
SUP_0333,Product_1436,4,88.21,393
SUP_0334,Product_2006,7,79.79,449
SUP_0335,Product_1540,8,99.0,267
SUP_0336,Product_1541,3,80.16,255
SUP_0337,Product_0937,8,61.07,1146
SUP_0338,Product_1505,13,68.43,714
SUP_0339,Product_0422,14,77.52,1057
SUP_0340,Product_1353,12,99.0,288
SUP_0341,Product_1391,9,84.19,744
SUP_0342,Product_0025,9,68.72,775
SUP_0343,Product_1030,12,65.1,546
SUP_0344,Product_1285,8,90.58,964
SUP_0345,Product_1577,3,91.99,666
SUP_0346,Product_1240,14,86.08,667
SUP_0347,Product_1838,11,69.6,1211
SUP_0348,Product_1362,6,70.86,306
SUP_0349,Product_1813,3,53.77,593
SUP_0350,Product_1280,9,88.27,1079
SUP_0351,Product_1199,13,86.42,1816
SUP_0352,Product_1422,5,49.19,782
SUP_0353,Product_0415,2,90.93,1286
SUP_0354,Product_1104,12,41.67,272
SUP_0355,Product_1155,8,42.98,372
SUP_0356,Product_1297,11,71.58,1021
SUP_0357,Product_1564,13,81.66,370
SUP_0358,Product_0411,12,29.46,857
SUP_0359,Product_1008,12,42.84,770
SUP_0360,Product_1005,9,60.14,784
SUP_0361,Product_1510,11,79.38,428
SUP_0362,Product_1582,8,68.6,790
SUP_0363,Product_1236,12,71.62,888
SUP_0364,Product_1383,5,99.0,498
SUP_0365,Product_0996,8,54.3,783
SUP_0366,Product_1272,11,93.43,463
SUP_0367,Product_1507,9,97.55,812
SUP_0368,Product_1219,11,71.9,985
SUP_0369,Product_0553,2,81.84,354
SUP_0370,Product_0558,12,88.48,337
SUP_0371,Product_0032,14,86.56,1980
SUP_0372,Product_1017,8,72.67,187
SUP_0373,Product_0385,7,69.25,385
SUP_0374,Product_0973,11,22.26,610
SUP_0375,Product_1495,6,54.85,339
SUP_0376,Product_1821,10,62.07,670
SUP_0377,Product_0095,2,90.18,852
SUP_0378,Product_1740,10,47.58,360
SUP_0379,Product_0425,3,95.15,794
SUP_0380,Product_1482,10,87.51,614
SUP_0381,Product_0128,12,63.19,342
SUP_0382,Product_1785,11,19.01,826
SUP_0383,Product_1472,3,67.67,677
SUP_0384,Product_2027,11,74.0,853
SUP_0385,Product_0209,6,73.25,726
SUP_0386,Product_1999,13,89.96,616
SUP_0387,Product_1501,11,85.35,246
SUP_0388,Product_1635,11,74.32,943
SUP_0389,Product_1524,14,58.15,1190
SUP_0390,Product_0832,13,84.35,1110
SUP_0391,Product_1440,7,82.25,1153
SUP_0392,Product_0928,10,88.83,412
SUP_0393,Product_1275,9,63.89,607
SUP_0394,Product_0935,10,58.58,1958
SUP_0395,Product_2019,4,99.0,609
SUP_0396,Product_1527,10,90.69,567
SUP_0397,Product_1492,2,99.0,944
SUP_0398,Product_1468,12,67.77,895
SUP_0399,Product_1209,13,88.34,544
SUP_0400,Product_0552,3,49.99,1878
SUP_0401,Product_0356,9,62.65,433
SUP_0402,Product_0019,14,82.64,1844
SUP_0403,Product_0038,8,93.83,798
SUP_0404,Product_1190,4,51.39,455
SUP_0405,Product_1298,13,99.0,748
SUP_0406,Product_1481,11,58.08,1385
SUP_0407,Product_1210,13,43.51,611
SUP_0408,Product_0100,13,73.16,259
SUP_0409,Product_0035,2,72.06,994
SUP_0410,Product_1648,5,87.84,2264
SUP_0411,Product_0413,14,61.8,438
SUP_0412,Product_1572,8,74.36,991
SUP_0413,Product_1514,6,71.08,898
SUP_0414,Product_1819,10,72.81,504
SUP_0415,Product_0557,11,62.67,580
SUP_0416,Product_0107,2,57.83,287
SUP_0417,Product_0014,4,91.92,932
SUP_0418,Product_1980,5,84.09,413
SUP_0419,Product_1651,2,56.61,531
SUP_0420,Product_1972,10,36.88,650
SUP_0421,Product_0214,6,73.21,686
SUP_0422,Product_2011,2,69.69,310
SUP_0423,Product_1593,3,73.42,139
SUP_0424,Product_1966,9,91.31,727
SUP_0425,Product_1503,6,82.94,129
SUP_0426,Product_1351,4,86.03,758
SUP_0427,Product_0376,5,55.84,1476
SUP_0428,Product_1789,11,40.44,588
SUP_0429,Product_0934,9,43.63,496
SUP_0430,Product_1013,13,64.29,229
SUP_0431,Product_0225,2,87.34,274
SUP_0432,Product_1494,12,72.02,740
SUP_0433,Product_0986,6,32.66,672
SUP_0434,Product_1173,5,96.07,258
SUP_0435,Product_1733,2,99.0,330
SUP_0436,Product_1810,8,81.37,622
SUP_0437,Product_0398,4,58.59,315
SUP_0438,Product_1106,10,75.86,547
SUP_0439,Product_0054,12,67.83,595
SUP_0440,Product_1560,7,89.63,267
SUP_0441,Product_1265,3,85.93,228
SUP_0442,Product_0037,12,55.81,1062
SUP_0443,Product_1276,2,44.62,504
SUP_0444,Product_1587,2,56.99,405
SUP_0445,Product_1271,2,53.58,519
SUP_0446,Product_0940,6,67.21,888
SUP_0447,Product_2008,3,36.25,464
SUP_0448,Product_1211,10,77.17,647
SUP_0449,Product_1191,14,86.01,321
SUP_0450,Product_1414,2,57.63,176
SUP_0451,Product_1623,6,98.75,646
SUP_0452,Product_1973,6,82.21,405
SUP_0453,Product_0126,14,52.34,530
SUP_0454,Product_0976,12,31.03,765
SUP_0455,Product_0401,3,90.3,303
SUP_0456,Product_0044,11,99.0,648
SUP_0457,Product_0193,13,64.33,156
SUP_0458,Product_0069,3,59.38,267
SUP_0459,Product_0479,8,99.0,190
SUP_0460,Product_1744,3,87.42,166
SUP_0461,Product_1561,5,80.17,193
SUP_0462,Product_1739,12,64.48,581
SUP_0463,Product_1227,4,97.86,355
SUP_0464,Product_1421,3,96.61,418
SUP_0465,Product_0001,5,86.14,338
SUP_0466,Product_1447,9,59.05,362
SUP_0467,Product_1878,10,56.99,649
SUP_0468,Product_1509,2,89.83,558
SUP_0469,Product_0023,6,47.09,1481
SUP_0470,Product_0017,7,99.0,932
SUP_0471,Product_1831,10,52.16,338
SUP_0472,Product_0008,5,99.0,555
SUP_0473,Product_1306,12,72.51,253
SUP_0474,Product_1232,2,78.11,631
SUP_0475,Product_1542,7,99.0,321
SUP_0476,Product_1653,11,99.0,613
SUP_0477,Product_1885,5,55.16,178
SUP_0478,Product_0129,8,71.08,395
SUP_0479,Product_1218,9,46.54,598
SUP_0480,Product_1484,10,58.5,594
SUP_0481,Product_1528,14,79.15,579
SUP_0482,Product_0392,14,69.19,566
SUP_0483,Product_2014,6,65.2,498
SUP_0484,Product_0390,13,85.3,629
SUP_0485,Product_1633,9,41.19,572
SUP_0486,Product_0080,3,80.65,565
SUP_0487,Product_1002,3,55.97,143
SUP_0488,Product_0690,8,99.0,302
SUP_0489,Product_1901,6,99.0,776
SUP_0490,Product_1543,7,82.12,540
SUP_0491,Product_1738,3,99.0,385
SUP_0492,Product_1986,5,70.18,535
SUP_0493,Product_1600,10,85.45,631
SUP_0494,Product_0367,14,99.0,199
SUP_0495,Product_1516,7,83.09,497
SUP_0496,Product_1533,7,76.91,409
SUP_0497,Product_1900,13,75.91,795
SUP_0498,Product_0987,7,54.33,208
SUP_0499,Product_0997,7,81.76,675
SUP_0500,Product_1735,5,67.79,1979
SUP_0501,Product_0194,5,61.96,565
SUP_0502,Product_0949,3,99.0,282
SUP_0503,Product_0206,6,97.27,418
SUP_0504,Product_1992,14,68.21,821
SUP_0505,Product_1204,9,62.38,598
SUP_0506,Product_1987,12,68.49,390
SUP_0507,Product_1636,13,46.9,910
SUP_0508,Product_0097,4,71.73,714
SUP_0509,Product_1225,4,90.57,1147
SUP_0510,Product_0561,2,73.71,1499
SUP_0511,Product_1612,9,51.25,600
SUP_0512,Product_1133,13,74.9,303
SUP_0513,Product_0845,8,77.03,612
SUP_0514,Product_1628,9,73.14,640
SUP_0515,Product_1547,7,63.82,252
SUP_0516,Product_1848,5,39.21,182
SUP_0517,Product_0870,6,63.29,532
SUP_0518,Product_2021,14,53.59,801
SUP_0519,Product_1015,12,55.2,510
SUP_0520,Product_0078,13,62.74,214
SUP_0521,Product_1303,4,85.56,444
SUP_0522,Product_1511,11,71.58,736
SUP_0523,Product_1621,14,54.72,507
SUP_0524,Product_1475,7,74.49,343
SUP_0525,Product_0381,6,87.77,414
SUP_0526,Product_1443,9,71.96,204
SUP_0527,Product_1446,11,75.41,338
SUP_0528,Product_1784,3,60.68,355
SUP_0529,Product_1193,6,68.03,285
SUP_0530,Product_1641,10,63.34,739
SUP_0531,Product_1518,12,89.69,3879
SUP_0532,Product_1021,5,99.0,342
SUP_0533,Product_0470,3,99.0,594
SUP_0534,Product_0215,4,44.26,672
SUP_0535,Product_1007,5,53.41,501
SUP_0536,Product_1160,8,69.29,781
SUP_0537,Product_0053,11,78.57,365
SUP_0538,Product_1370,3,92.1,176
SUP_0539,Product_0433,4,76.28,675
SUP_0540,Product_1532,2,98.89,113
SUP_0541,Product_0034,14,82.71,387
SUP_0542,Product_1367,3,99.0,248
SUP_0543,Product_0088,7,79.58,268
SUP_0544,Product_1626,5,76.07,473
SUP_0545,Product_1729,6,91.4,782
SUP_0546,Product_1308,14,91.29,611
SUP_0547,Product_2017,5,98.48,121
SUP_0548,Product_0478,5,91.39,339
SUP_0549,Product_1128,4,84.67,514
SUP_0550,Product_1442,8,99.0,387
SUP_0551,Product_1010,2,55.69,350
SUP_0552,Product_2138,12,54.55,488
SUP_0553,Product_2050,7,78.08,745
SUP_0554,Product_0551,11,71.69,310
SUP_0555,Product_0226,3,61.76,859
SUP_0556,Product_0195,8,50.29,347
SUP_0557,Product_1610,13,61.82,194
SUP_0558,Product_1384,10,85.93,140
SUP_0559,Product_1632,7,93.99,355
SUP_0560,Product_1734,6,69.57,242
SUP_0561,Product_0421,7,99.0,261
SUP_0562,Product_1782,5,24.35,499
SUP_0563,Product_1780,9,54.05,330
SUP_0564,Product_0013,5,74.2,126
SUP_0565,Product_1546,12,57.7,375
SUP_0566,Product_1971,13,60.53,521
SUP_0567,Product_1522,11,99.0,339
SUP_0568,Product_1634,9,38.93,436
SUP_0569,Product_1842,13,57.42,346
SUP_0570,Product_1034,13,62.73,499
SUP_0571,Product_1457,2,86.09,672
SUP_0572,Product_1132,7,68.72,950
SUP_0573,Product_1477,9,87.02,325
SUP_0574,Product_0417,11,48.58,577
SUP_0575,Product_0179,9,13.36,642
SUP_0576,Product_1545,3,58.92,472
SUP_0577,Product_0122,12,68.61,198
SUP_0578,Product_1228,9,58.74,1263
SUP_0579,Product_1995,7,97.81,324
SUP_0580,Product_1736,10,75.77,129
SUP_0581,Product_0113,2,74.82,236
SUP_0582,Product_1596,13,40.4,330
SUP_0583,Product_1743,13,90.61,406
SUP_0584,Product_1249,9,51.09,251
SUP_0585,Product_1899,10,70.37,1034
SUP_0586,Product_1389,7,84.18,140
SUP_0587,Product_1031,13,28.84,223
SUP_0588,Product_0213,7,58.9,273
SUP_0589,Product_1417,2,87.19,311
SUP_0590,Product_1441,2,78.76,1361
SUP_0591,Product_1650,13,99.0,170
SUP_0592,Product_1307,8,97.26,308
SUP_0593,Product_0183,7,69.73,215
SUP_0594,Product_0974,10,42.2,285
SUP_0595,Product_1343,7,62.31,339
SUP_0596,Product_1840,5,54.73,193
SUP_0597,Product_1829,7,70.66,270
SUP_0598,Product_1589,14,44.54,274
SUP_0599,Product_0371,6,94.86,242
SUP_0600,Product_0958,11,96.57,1035
SUP_0601,Product_1474,13,83.75,280
SUP_0602,Product_1003,3,85.24,122
SUP_0603,Product_0015,13,67.3,314
SUP_0604,Product_0885,4,68.44,136
SUP_0605,Product_1009,10,58.94,100
SUP_0606,Product_1731,4,99.0,392
SUP_0607,Product_1746,9,47.24,544
SUP_0608,Product_0127,2,97.5,272
SUP_0609,Product_1449,7,94.33,670
SUP_0610,Product_1968,3,83.44,376
SUP_0611,Product_1500,5,99.0,126
SUP_0612,Product_0101,13,40.64,328
SUP_0613,Product_0871,8,64.4,298
SUP_0614,Product_0905,5,35.28,111
SUP_0615,Product_1445,5,75.55,347
SUP_0616,Product_0004,3,57.16,509
SUP_0617,Product_0087,10,67.55,150
SUP_0618,Product_1415,8,58.32,189
SUP_0619,Product_1630,7,55.26,290
SUP_0620,Product_1488,5,99.0,345
SUP_0621,Product_1487,8,61.61,141
SUP_0622,Product_1790,5,63.5,866
SUP_0623,Product_0419,5,86.3,215
SUP_0624,Product_1390,7,75.97,357
SUP_0625,Product_1880,8,56.85,405
SUP_0626,Product_0061,14,66.61,153
SUP_0627,Product_1732,8,77.53,450
SUP_0628,Product_1379,6,90.25,338
SUP_0629,Product_1504,9,82.52,408
SUP_0630,Product_1229,10,65.41,208
SUP_0631,Product_0999,11,67.72,521
SUP_0632,Product_1161,3,33.65,654
SUP_0633,Product_1444,8,79.27,357
SUP_0634,Product_1214,2,62.82,350
SUP_0635,Product_2031,10,70.67,162
SUP_0636,Product_0894,3,76.75,297
SUP_0637,Product_1847,8,96.47,464
SUP_0638,Product_0838,10,91.63,232
SUP_0639,Product_1588,8,64.11,142
SUP_0640,Product_0147,14,68.91,320
SUP_0641,Product_0989,14,43.81,607
SUP_0642,Product_2041,5,61.86,2103
SUP_0643,Product_0200,13,38.84,220
SUP_0644,Product_1302,4,27.49,245
SUP_0645,Product_1553,2,65.09,173
SUP_0646,Product_0554,13,73.07,1326
SUP_0647,Product_1238,2,87.56,283
SUP_0648,Product_1742,14,99.0,1366
SUP_0649,Product_2029,10,64.99,1910
SUP_0650,Product_2007,14,72.88,363
