SKU,Product_Category,Unit_Cost,Lead_Time_Days,Ordering_Cost,Holding_Cost_Per_Unit_Year
Product_1242,Category_019,17.51,6,4920,373.06
Product_1410,Category_019,12.12,11,3075,354.26
Product_0094,Category_019,15.39,7,975,391.83
Product_1250,Category_019,14.15,8,4741,254.06
Product_1281,Category_019,11.19,7,1322,239.16
Product_1970,Category_005,14.01,2,3453,406.06
Product_1355,Category_019,14.65,13,2999,290.26
Product_0931,Category_006,12.76,6,4142,364.83
Product_1158,Category_006,17.97,9,4232,270.85
Product_1886,Category_007,14.59,6,4777,334.51
Product_1555,Category_019,18.01,10,1295,369.08
Product_1839,Category_006,17.99,5,5532,445.27
Product_1496,Category_019,15.83,7,3032,356.41
Product_1316,Category_019,16.34,3,1515,262.91
Product_0066,Category_019,16.22,3,1899,379.81
Product_1396,Category_019,15.99,7,3004,386.26
Product_1439,Category_019,16.56,2,1649,397.96
Product_1149,Category_006,16.6,5,4490,301.43
Product_0071,Category_019,18.75,10,2628,227.75
Product_1159,Category_006,15.2,4,3811,430.47
Product_1150,Category_006,17.47,9,1323,234.53
Product_0936,Category_006,18.22,11,4719,412.86
Product_0064,Category_019,18.39,12,2014,357.59
Product_1521,Category_019,18.34,8,5300,237.97
Product_1156,Category_006,18.73,8,3129,393.47
Product_1520,Category_019,21.55,6,5030,413.84
Product_1290,Category_019,16.73,14,2959,230.83
Product_0933,Category_006,16.56,10,1786,296.77
Product_1262,Category_019,21.2,12,3529,393.19
Product_0084,Category_019,19.7,7,3976,402.27
Product_1512,Category_019,20.24,6,3542,237.09
Product_1407,Category_019,24.46,6,2771,367.56
Product_1513,Category_019,20.26,10,3644,410.33
Product_1018,Category_007,22.96,6,3976,255.97
Product_1282,Category_033,19.01,12,3724,437.51
Product_1375,Category_019,20.45,3,4349,434.87
Product_1279,Category_019,22.53,5,5097,246.74
Product_1216,Category_019,21.07,11,2499,304.8
Product_1430,Category_019,27.59,13,2138,361.26
Product_1904,Category_019,22.8,10,2334,246.55
Product_1315,Category_019,24.59,12,5170,306.57
Product_1233,Category_019,32.98,5,4209,226.37
Product_0082,Category_019,23.71,5,2120,364.43
Product_0063,Category_019,22.22,7,818,325.09
Product_1581,Category_005,21.86,6,5063,363.67
Product_1479,Category_019,24.85,4,4249,282.86
Product_1269,Category_019,25.55,13,5617,239.3
Product_1299,Category_019,25.22,6,3434,392.82
Product_1450,Category_019,24.2,3,5755,235.82
Product_0070,Category_019,26.62,2,4059,303.82
Product_0982,Category_028,39.68,11,1856,361.89
Product_1463,Category_019,28.9,11,2278,325.1
Product_1508,Category_019,30.2,2,1303,290.5
Product_1388,Category_019,25.54,14,4115,377.27
Product_1465,Category_019,30.0,8,1979,306.09
Product_1151,Category_006,21.08,9,4735,420.47
Product_1823,Category_006,27.3,8,5827,238.72
Product_1135,Category_005,32.63,9,3477,360.51
Product_1246,Category_019,27.6,7,4463,411.75
Product_1817,Category_006,32.33,11,5757,418.78
Product_1237,Category_019,24.79,3,2883,408.91
Product_1435,Category_019,26.99,13,1528,363.28
Product_1048,Category_006,27.77,6,3892,422.06
Product_1312,Category_019,37.63,2,4950,250.36
Product_1165,Category_006,27.52,11,2126,359.02
Product_1023,Category_007,32.97,8,5607,409.96
Product_0985,Category_028,37.15,3,5337,376.86
Product_1195,Category_019,38.74,13,4670,400.3
Product_1348,Category_019,30.19,12,2504,308.11
Product_0096,Category_019,36.41,13,2301,432.08
Product_1270,Category_019,36.72,13,2614,379.2
Product_1624,Category_019,32.78,10,2224,340.6
Product_0979,Category_028,37.47,3,5535,344.36
Product_1224,Category_019,45.18,6,4908,388.64
Product_1567,Category_019,37.61,5,1161,394.4
Product_0021,Category_005,29.55,6,1218,415.39
Product_1418,Category_019,33.04,7,946,237.95
Product_1787,Category_006,37.85,4,1503,364.69
Product_0990,Category_028,40.38,9,2968,394.49
Product_0002,Category_005,51.76,2,1465,263.67
Product_1483,Category_019,37.01,6,3520,363.42
Product_0098,Category_019,34.15,5,1778,436.44
Product_1548,Category_019,53.05,10,3712,260.08
Product_0031,Category_005,43.33,9,1814,379.32
Product_0077,Category_019,43.11,8,3869,342.08
Product_2042,Category_019,44.45,5,4123,273.6
Product_1222,Category_019,28.45,8,1103,299.52
Product_1047,Category_006,33.23,6,1291,394.14
Product_1766,Category_005,44.72,14,4814,375.17
Product_1153,Category_006,33.24,5,5668,292.08
Product_0072,Category_019,35.26,12,1705,253.27
Product_1162,Category_006,39.95,8,4595,371.46
Product_0073,Category_019,52.35,11,4446,349.54
Product_0424,Category_019,46.17,4,3722,253.0
Product_1354,Category_019,51.29,4,3274,348.89
Product_1812,Category_006,48.65,10,2446,429.29
Product_2034,Category_006,41.75,11,2094,280.73
Product_1493,Category_019,52.76,4,1494,420.21
Product_1402,Category_019,48.51,3,2832,321.01
Product_0829,Category_006,39.94,7,4556,275.74
Product_0998,Category_028,43.55,11,5523,236.72
Product_0943,Category_005,49.85,10,3256,244.79
Product_0089,Category_019,47.73,8,2519,364.17
Product_1556,Category_019,42.28,13,5531,402.24
Product_1397,Category_019,50.1,11,3433,438.88
Product_1399,Category_019,47.16,14,5676,291.29
Product_1788,Category_006,54.69,2,4296,404.82
Product_1363,Category_033,46.8,10,2309,303.8
Product_1349,Category_019,60.98,14,4976,225.24
Product_1458,Category_019,55.96,13,5555,355.59
Product_0374,Category_030,66.58,4,2453,382.48
Product_1163,Category_006,57.75,12,5869,428.48
Product_1387,Category_019,56.67,9,4608,446.0
Product_1256,Category_019,68.35,10,5147,411.0
Product_0093,Category_019,59.32,13,5021,238.23
Product_0016,Category_005,62.78,6,5095,405.04
Product_1380,Category_019,57.57,4,1167,422.83
Product_1991,Category_005,62.09,6,3460,320.57
Product_1374,Category_019,64.45,3,2656,264.3
Product_1314,Category_019,45.89,8,3752,421.85
Product_2043,Category_019,52.85,10,3189,352.14
Product_1372,Category_019,52.24,3,3069,306.87
Product_1134,Category_005,61.95,7,3745,257.94
Product_1154,Category_006,50.9,7,1901,240.62
Product_1455,Category_019,56.83,10,2656,309.5
Product_1392,Category_019,55.67,12,1180,311.53
Product_1466,Category_019,80.46,5,1004,289.97
Product_0065,Category_019,48.01,2,1125,344.93
Product_1469,Category_019,43.36,12,1249,404.88
Product_1818,Category_006,70.48,3,1416,409.24
Product_0012,Category_005,58.55,5,4750,284.25
Product_0981,Category_028,45.49,5,3609,353.81
Product_1969,Category_005,41.16,13,1535,389.97
Product_1573,Category_019,53.92,2,2902,236.96
Product_1438,Category_019,62.01,7,1859,390.34
Product_1459,Category_019,56.27,14,3231,243.28
Product_0109,Category_006,60.92,8,3314,352.92
Product_1637,Category_019,62.15,3,4071,264.15
Product_0202,Category_007,67.66,9,5063,354.56
Product_0108,Category_006,66.82,7,2599,253.04
Product_1243,Category_019,64.95,8,2647,321.06
Product_1247,Category_019,54.34,2,4015,270.94
Product_0837,Category_019,67.38,5,3317,360.59
Product_1464,Category_019,49.76,2,5867,357.92
Product_1198,Category_019,68.43,8,3143,327.49
Product_1273,Category_019,54.26,5,869,391.49
Product_1429,Category_019,80.78,4,826,413.02
Product_0079,Category_019,48.49,6,1561,283.18
Product_2015,Category_005,65.32,7,2935,318.51
Product_1523,Category_019,57.04,5,2809,398.76
Product_1309,Category_019,65.09,2,4007,282.35
Product_0018,Category_005,64.12,7,936,240.65
Product_1376,Category_019,65.68,10,5283,280.6
Product_1268,Category_019,58.56,8,1464,268.18
Product_0932,Category_006,47.53,2,1544,351.67
Product_1239,Category_019,70.02,13,4240,360.23
Product_1461,Category_019,84.22,14,5370,266.11
Product_1164,Category_006,64.03,12,1944,433.87
Product_1101,Category_032,75.67,13,1596,396.54
Product_1997,Category_005,65.45,9,1313,305.82
Product_1147,Category_006,92.23,7,2094,411.62
Product_1437,Category_019,60.42,11,5183,361.73
Product_0387,Category_030,88.45,9,2511,348.6
Product_1571,Category_019,63.98,8,2308,335.97
Product_0980,Category_028,68.75,12,2408,426.36
Product_1404,Category_019,73.29,8,3940,356.54
Product_0677,Category_011,89.11,11,5011,424.98
Product_1478,Category_019,90.34,8,5182,381.61
Product_2044,Category_019,60.99,5,5398,257.84
Product_1244,Category_019,88.64,8,3354,389.63
Product_1357,Category_019,90.42,2,4878,364.88
Product_1347,Category_019,120.53,12,1473,361.5
Product_1398,Category_019,70.89,4,2244,352.95
Product_1826,Category_006,85.05,11,4715,417.18
Product_0984,Category_028,81.55,8,2451,252.54
Product_1288,Category_019,73.78,3,4847,353.95
Product_0930,Category_006,77.99,14,5556,414.62
Product_1824,Category_006,75.43,5,4649,337.2
Product_1253,Category_019,78.34,12,4235,391.22
Product_0941,Category_005,84.51,9,4823,287.28
Product_1419,Category_019,108.44,9,5414,359.54
Product_2004,Category_005,82.13,4,2099,269.64
Product_1835,Category_006,106.2,6,2262,260.19
Product_1344,Category_019,87.86,3,3633,413.91
Product_0556,Category_030,105.44,6,5072,431.17
Product_1460,Category_019,112.0,14,4507,322.79
Product_1485,Category_019,115.69,14,5608,306.38
Product_1424,Category_019,102.69,10,5736,289.55
Product_0085,Category_019,80.26,13,867,417.07
Product_2035,Category_006,89.04,10,4507,259.96
Product_1643,Category_019,67.43,7,4527,403.16
Product_1846,Category_006,107.93,11,3931,251.28
Product_1266,Category_019,115.17,4,5793,265.11
Product_0418,Category_019,136.76,3,3309,273.39
Product_1304,Category_019,81.41,12,1618,418.6
Product_1215,Category_019,95.36,7,3279,389.1
Product_1000,Category_028,114.48,8,5428,241.42
Product_0929,Category_006,113.34,3,4296,276.16
Product_2033,Category_006,102.15,6,969,359.7
Product_2032,Category_006,84.26,9,4121,310.95
Product_1346,Category_019,110.87,2,2207,292.02
Product_1284,Category_019,91.82,2,4196,378.65
Product_2036,Category_006,81.55,7,900,345.01
Product_1841,Category_006,98.44,6,1741,254.91
Product_0086,Category_019,117.16,2,5053,314.31
Product_1603,Category_030,109.38,14,4704,329.18
Product_1400,Category_019,89.25,12,2707,335.14
Product_1167,Category_006,93.71,2,4568,306.84
Product_1967,Category_005,119.66,11,1060,298.43
Product_2001,Category_005,114.4,13,1202,343.76
Product_0368,Category_030,125.47,11,3734,314.41
Product_1148,Category_006,108.88,8,3730,287.35
Product_0062,Category_019,79.03,14,1245,315.67
Product_1366,Category_019,118.84,8,4504,422.78
Product_1369,Category_019,97.89,8,1007,375.83
Product_0355,Category_005,112.05,5,5451,430.37
Product_1385,Category_019,97.54,11,3443,298.35
Product_0011,Category_005,104.9,6,5672,386.55
Product_0407,Category_019,129.5,12,852,301.58
Product_1220,Category_006,112.42,2,2093,285.22
Product_0074,Category_019,118.39,12,5846,302.46
Product_2010,Category_005,106.28,13,3264,413.95
Product_1235,Category_019,111.65,5,2725,370.35
Product_0427,Category_019,119.97,3,3654,423.47
Product_1420,Category_019,116.53,9,4314,321.56
Product_1981,Category_005,104.21,4,1695,351.42
Product_0357,Category_005,108.42,5,921,423.8
Product_1408,Category_019,173.73,8,4982,430.93
Product_1001,Category_028,153.99,2,2079,241.47
Product_0942,Category_005,109.48,4,2961,303.48
Product_1416,Category_019,101.42,9,3243,252.88
Product_1401,Category_019,42.42,13,5200,204.11
Product_1539,Category_019,173.53,6,5296,423.35
Product_1833,Category_006,117.44,8,4903,252.11
Product_0020,Category_005,106.76,6,5952,344.42
Product_0366,Category_030,213.87,2,5661,265.91
Product_2046,Category_019,132.44,11,1841,250.52
Product_0408,Category_019,82.94,8,4224,237.04
Product_1423,Category_019,108.96,5,1946,384.95
Product_0146,Category_005,167.16,14,3984,230.9
Product_1467,Category_019,122.58,4,3806,270.66
Product_0145,Category_005,124.94,4,4969,426.66
Product_0831,Category_019,133.56,14,5558,350.68
Product_0099,Category_019,114.89,13,1522,240.21
Product_1568,Category_019,112.47,3,2170,244.33
Product_1409,Category_019,119.05,10,1551,318.09
Product_1352,Category_019,105.19,5,4046,359.65
Product_1427,Category_019,121.25,11,2245,175.36
Product_0420,Category_019,161.63,5,4258,329.33
Product_0081,Category_019,137.48,11,4689,225.69
Product_1489,Category_019,136.6,8,2417,262.11
Product_1977,Category_005,128.75,9,1209,234.71
Product_1515,Category_019,97.04,5,5063,239.24
Product_1832,Category_006,166.91,9,1505,365.87
Product_0975,Category_028,190.81,13,4766,376.63
Product_2047,Category_019,104.16,9,4475,334.25
Product_1289,Category_019,148.4,9,4152,449.74
Product_1486,Category_019,115.79,10,5738,348.56
Product_1371,Category_019,120.66,8,4934,434.12
Product_1217,Category_019,147.07,12,2900,261.77
Product_0191,Category_007,118.86,7,5679,276.4
Product_1078,Category_020,127.89,12,3881,386.93
Product_1652,Category_019,126.76,5,1524,331.51
Product_0379,Category_030,209.36,7,5291,443.98
Product_1580,Category_005,130.83,6,1765,305.64
Product_1221,Category_006,167.45,8,4976,399.31
Product_1988,Category_005,121.95,12,974,302.78
Product_0036,Category_005,132.4,8,3330,395.31
Product_1765,Category_005,137.35,5,2646,237.84
Product_1578,Category_019,231.68,6,1179,330.75
Product_1601,Category_030,155.5,9,4084,408.3
Product_1519,Category_019,115.78,7,3267,388.24
Product_1213,Category_019,88.47,8,1586,145.46
Product_1345,Category_019,130.04,10,2287,394.24
Product_0178,Category_007,197.8,3,3280,308.54
Product_1820,Category_006,140.81,12,3007,251.74
Product_1906,Category_019,200.0,7,4225,335.61
Product_1905,Category_019,140.19,11,3863,405.08
Product_1368,Category_019,173.46,5,5925,299.9
Product_0962,Category_005,100.23,9,1717,386.2
Product_1454,Category_019,169.57,10,2976,401.39
Product_1373,Category_019,178.91,12,2271,247.77
Product_1629,Category_019,155.49,2,3001,403.6
Product_2045,Category_019,70.22,6,5802,339.69
Product_2048,Category_019,155.14,10,2364,295.11
Product_1436,Category_019,88.09,4,2727,227.34
Product_2006,Category_005,173.47,7,3596,386.88
Product_1540,Category_019,70.41,8,5307,371.37
Product_1541,Category_019,118.73,3,1709,297.57
Product_0937,Category_006,194.91,8,5818,426.58
Product_1505,Category_019,117.77,13,2746,345.24
Product_0422,Category_019,46.93,14,3490,405.6
Product_1353,Category_019,148.91,12,3991,359.98
Product_1391,Category_019,162.98,9,2028,338.87
Product_0025,Category_005,134.43,9,5293,440.14
Product_1030,Category_028,172.09,12,5611,245.95
Product_1285,Category_019,175.97,8,3629,253.87
Product_1577,Category_019,185.76,3,2671,434.66
Product_1240,Category_019,215.82,14,5052,305.39
Product_1838,Category_006,199.98,11,5045,438.47
Product_1362,Category_033,88.98,6,2284,239.48
Product_1813,Category_006,123.95,3,5218,353.69
Product_1280,Category_019,252.43,9,1598,367.33
Product_1199,Category_019,196.83,13,1622,434.29
Product_1422,Category_019,147.49,5,2587,235.6
Product_0415,Category_019,189.48,2,2291,286.41
Product_1104,Category_006,222.06,12,4236,356.29
Product_1155,Category_006,115.32,8,5515,387.77
Product_1297,Category_019,203.74,11,1199,257.22
Product_1564,Category_019,264.31,13,987,233.28
Product_0411,Category_030,136.75,12,3165,270.15
Product_1008,Category_006,174.71,12,1898,309.4
Product_1005,Category_006,168.13,9,2100,429.97
Product_1510,Category_019,142.14,11,3186,427.65
Product_1582,Category_005,153.22,8,1792,304.1
Product_1236,Category_019,111.46,12,5798,438.9
Product_1383,Category_019,185.76,5,5787,337.78
Product_0996,Category_028,293.46,8,1905,263.28
Product_1272,Category_019,165.83,11,4430,248.9
Product_1507,Category_019,296.78,9,4276,393.63
Product_1219,Category_019,206.84,11,2431,409.08
Product_0553,Category_030,178.25,2,2167,372.49
Product_0558,Category_030,51.21,12,4397,442.56
Product_0032,Category_005,149.99,14,3959,340.16
Product_1017,Category_007,206.02,8,5195,288.85
Product_0385,Category_030,250.04,7,3849,289.52
Product_0973,Category_028,181.73,11,3037,311.61
Product_1495,Category_019,184.81,6,1800,263.99
Product_1821,Category_006,227.49,10,4960,353.06
Product_0095,Category_019,54.31,2,4751,414.01
Product_1740,Category_030,169.71,10,4550,393.04
Product_0425,Category_019,198.9,3,4363,318.76
Product_1482,Category_019,238.99,10,4503,412.26
Product_0128,Category_019,247.5,12,4530,346.92
Product_1785,Category_006,208.31,11,4718,398.88
Product_1472,Category_019,250.32,3,5630,319.17
Product_2027,Category_005,277.1,11,3537,224.95
Product_0209,Category_007,301.24,6,5761,295.8
Product_1999,Category_005,192.2,13,4887,321.93
Product_1501,Category_019,192.83,11,4465,398.1
Product_1635,Category_019,302.98,11,1162,415.24
Product_1524,Category_019,413.82,14,3668,348.86
Product_0832,Category_019,282.36,13,5477,252.06
Product_1440,Category_019,215.03,7,1379,238.27
Product_0928,Category_006,199.73,10,1878,233.97
Product_1275,Category_019,257.18,9,4369,407.2
Product_0935,Category_006,134.05,10,1353,299.52
Product_2019,Category_005,343.78,4,4332,358.82
Product_1527,Category_019,128.13,10,1726,379.36
Product_1492,Category_019,234.72,2,5332,308.26
Product_1468,Category_019,235.82,12,5931,430.17
Product_1209,Category_019,243.8,13,865,234.19
Product_0552,Category_030,272.67,3,4734,287.02
Product_0356,Category_005,258.92,9,1001,369.85
Product_0019,Category_005,288.94,14,1100,267.02
Product_0038,Category_005,206.13,8,1924,332.67
Product_1190,Category_019,272.48,4,2409,274.3
Product_1298,Category_019,168.64,13,2424,317.72
Product_1481,Category_019,241.14,11,3482,372.86
Product_1210,Category_019,296.24,13,5624,378.41
Product_0100,Category_019,264.7,13,4899,331.66
Product_0035,Category_005,197.06,2,3677,347.11
Product_1648,Category_019,270.04,5,1852,348.63
Product_0413,Category_019,239.55,14,5762,331.6
Product_1572,Category_019,224.02,8,4175,278.93
Product_1514,Category_019,283.75,6,4401,246.87
Product_1819,Category_006,249.42,10,2854,327.48
Product_0557,Category_030,184.21,11,993,356.69
Product_0107,Category_006,235.45,2,4170,253.67
Product_0014,Category_005,207.31,4,5038,229.68
Product_1980,Category_005,245.86,5,4488,380.1
Product_1651,Category_019,254.0,2,4193,340.34
Product_1972,Category_005,327.66,10,3448,305.65
Product_0214,Category_007,170.1,6,974,200.3
Product_2011,Category_005,211.14,2,4531,219.62
Product_1593,Category_030,355.58,3,5308,244.72
Product_1966,Category_005,258.65,9,4059,378.2
Product_1503,Category_019,297.94,6,3557,347.77
Product_1351,Category_019,240.41,4,4105,348.67
Product_0376,Category_030,288.78,5,2600,417.86
Product_1789,Category_006,359.72,11,5608,311.75
Product_0934,Category_006,262.14,9,1854,434.12
Product_1013,Category_005,189.01,13,1358,351.19
Product_0225,Category_007,141.1,2,1510,311.53
Product_1494,Category_019,147.26,12,3637,308.93
Product_0986,Category_028,145.43,6,1231,423.08
Product_1173,Category_006,323.44,5,1898,424.01
Product_1733,Category_030,219.54,2,4172,358.78
Product_1810,Category_006,324.03,8,4204,379.76
Product_0398,Category_030,158.51,4,5313,299.46
Product_1106,Category_006,247.85,10,2052,279.32
Product_0054,Category_019,214.51,12,5026,273.69
Product_1560,Category_019,379.87,7,3847,266.21
Product_1265,Category_019,352.85,3,1813,344.34
Product_0037,Category_005,271.77,12,4439,400.37
Product_1276,Category_019,231.81,2,2488,245.09
Product_1587,Category_030,373.39,2,1908,343.58
Product_1271,Category_019,307.04,2,4027,249.91
Product_0940,Category_005,229.38,6,3914,399.08
Product_2008,Category_005,252.46,3,3077,365.15
Product_1211,Category_019,311.62,10,2030,270.27
Product_1191,Category_019,271.62,14,3815,381.76
Product_1414,Category_019,272.56,2,1223,426.89
Product_1623,Category_019,410.5,6,5949,394.86
Product_1973,Category_005,123.1,6,2587,288.68
Product_0126,Category_019,77.02,14,2061,391.88
Product_0976,Category_028,326.87,12,2346,237.22
Product_0401,Category_030,305.49,3,1648,286.41
Product_0044,Category_005,256.97,11,3810,417.77
Product_0193,Category_007,347.66,13,2425,262.04
Product_0069,Category_019,301.76,3,1295,271.07
Product_0479,Category_005,264.24,8,1496,244.45
Product_1744,Category_030,369.93,3,5897,263.09
Product_1561,Category_019,181.92,5,2024,439.65
Product_1739,Category_030,205.79,12,2486,227.1
Product_1227,Category_019,243.05,4,1957,440.99
Product_1421,Category_019,209.92,3,841,198.41
Product_0001,Category_005,367.99,5,1008,240.11
Product_1447,Category_019,308.01,9,1875,375.46
Product_1878,Category_005,171.06,10,4008,310.03
Product_1509,Category_019,187.56,2,5027,183.33
Product_0023,Category_005,241.47,6,4580,231.86
Product_0017,Category_005,313.93,7,1703,257.28
Product_1831,Category_006,518.38,10,1417,227.28
Product_0008,Category_005,111.11,5,993,411.33
Product_1306,Category_019,156.61,12,4263,339.59
Product_1232,Category_019,383.35,2,4079,401.72
Product_1542,Category_019,307.73,7,2599,428.92
Product_1653,Category_019,255.49,11,4373,192.0
Product_1885,Category_007,128.07,5,4677,420.76
Product_0129,Category_019,332.11,8,2474,373.38
Product_1218,Category_019,475.41,9,1259,275.96
Product_1484,Category_019,118.97,10,5166,420.49
Product_1528,Category_019,139.52,14,2385,248.43
Product_0392,Category_030,351.82,14,2735,436.19
Product_2014,Category_019,131.96,6,832,178.51
Product_0390,Category_030,319.93,13,2870,340.24
Product_1633,Category_019,226.22,9,1781,317.26
Product_0080,Category_019,519.77,3,5232,409.44
Product_1002,Category_028,425.08,3,4333,326.52
Product_0690,Category_011,428.47,8,3117,329.76
Product_1901,Category_019,96.84,6,3467,232.44
Product_1543,Category_019,118.96,7,2214,292.21
Product_1738,Category_030,303.23,3,1256,329.79
Product_1986,Category_005,412.87,5,3550,301.21
Product_1600,Category_030,464.38,10,5786,422.83
Product_0367,Category_019,127.85,14,3299,299.58
Product_1516,Category_019,332.99,7,1619,337.46
Product_1533,Category_019,309.98,7,2813,247.57
Product_1900,Category_019,390.06,13,4371,268.18
Product_0987,Category_028,170.71,7,3410,434.05
Product_0997,Category_028,723.62,7,5553,229.44
Product_1735,Category_030,430.06,5,5024,399.87
Product_0194,Category_007,170.06,5,3892,218.76
Product_0949,Category_005,348.85,3,1180,357.64
Product_0206,Category_007,173.84,6,3573,97.91
Product_1992,Category_005,235.27,14,3266,179.43
Product_1204,Category_019,179.89,9,2587,322.59
Product_1987,Category_005,414.0,12,4938,328.55
Product_1636,Category_019,174.19,13,1545,295.35
Product_0097,Category_019,348.91,4,4416,247.9
Product_1225,Category_019,462.12,4,5134,330.42
Product_0561,Category_030,420.54,2,4127,393.66
Product_1612,Category_005,480.08,9,5723,373.41
Product_1133,Category_030,92.81,13,4119,257.69
Product_0845,Category_021,71.7,8,2505,324.27
Product_1628,Category_019,382.24,9,1269,342.82
Product_1547,Category_019,412.81,7,2437,426.53
Product_1848,Category_006,494.42,5,5997,264.11
Product_0870,Category_023,262.26,6,5746,264.25
Product_2021,Category_005,280.92,14,1999,337.12
Product_1015,Category_007,119.32,12,5392,248.16
Product_0078,Category_019,427.46,13,4302,404.56
Product_1303,Category_019,532.31,4,1062,297.77
Product_1511,Category_019,246.41,11,5382,417.17
Product_1621,Category_019,448.0,14,1473,411.83
Product_1475,Category_019,440.62,7,3463,234.19
Product_0381,Category_030,437.76,6,1452,293.32
Product_1443,Category_019,426.78,9,3824,265.45
Product_1446,Category_019,427.59,11,2944,250.47
Product_1784,Category_006,33.8,3,3485,279.15
Product_1193,Category_019,89.36,6,5261,267.51
Product_1641,Category_019,420.36,10,5953,280.84
Product_1518,Category_019,101.47,12,955,168.85
Product_1021,Category_005,616.7,5,992,278.08
Product_0470,Category_005,211.23,3,2718,332.66
Product_0215,Category_007,113.48,4,978,254.24
Product_1007,Category_006,638.84,5,2566,325.96
Product_1160,Category_006,222.65,8,5499,394.46
Product_0053,Category_019,164.94,11,5598,429.7
Product_1370,Category_019,544.28,3,4755,258.59
Product_0433,Category_006,298.56,4,2196,263.55
Product_1532,Category_019,141.0,2,3633,182.94
Product_0034,Category_005,147.6,14,2074,221.34
Product_1367,Category_019,104.04,3,4365,103.98
Product_0088,Category_019,517.74,7,1189,306.52
Product_1626,Category_019,533.09,5,2593,377.78
Product_1729,Category_005,320.86,6,3009,143.34
Product_1308,Category_019,200.21,14,4073,178.08
Product_2017,Category_005,433.96,5,991,258.46
Product_0478,Category_005,270.38,5,5987,291.81
Product_1128,Category_030,551.04,4,5013,298.83
Product_1442,Category_019,496.38,8,1423,319.79
Product_1010,Category_005,323.15,2,1468,290.89
Product_2138,Category_009,280.17,12,4330,191.64
Product_2050,Category_011,472.91,7,2117,322.59
Product_0551,Category_030,320.29,11,4436,243.43
Product_0226,Category_007,105.57,3,2989,123.28
Product_0195,Category_007,403.65,8,1701,256.07
Product_1610,Category_030,510.63,13,5943,341.86
Product_1384,Category_019,248.5,10,5423,412.05
Product_1632,Category_019,385.89,7,1622,303.92
Product_1734,Category_030,254.12,6,2103,404.54
Product_0421,Category_019,390.32,7,3695,383.95
Product_1782,Category_006,280.05,5,5455,294.84
Product_1780,Category_006,707.58,9,1016,260.01
Product_0013,Category_005,429.84,5,2138,258.28
Product_1546,Category_019,329.64,12,1878,378.19
Product_1971,Category_005,388.86,13,1544,387.22
Product_1522,Category_019,346.62,11,2274,363.62
Product_1634,Category_019,594.18,9,3046,381.59
Product_1842,Category_006,213.49,13,4800,422.64
Product_1034,Category_028,215.38,13,5361,173.66
Product_1457,Category_019,474.64,2,3519,276.2
Product_1132,Category_030,278.86,7,1660,234.26
Product_1477,Category_019,208.95,9,1540,232.42
Product_0417,Category_019,88.91,11,5304,308.98
Product_0179,Category_007,330.0,9,5168,236.76
Product_1545,Category_019,215.68,3,1139,424.44
Product_0122,Category_021,433.33,12,3132,262.92
Product_1228,Category_019,152.23,9,2552,258.24
Product_1995,Category_019,430.45,7,1111,379.58
